,content,ans
0,"사용한지 한달 남짓 됐는데요, 향도 없고, 바르고 나서 끈적임도 없어요. 피부에 흡수도 잘 되는 편이고요. 그런데.. 용기, 한 3분의 1정도 남았는데 펌핑해서 안나와요. 뚜껑 열고 닫는 것도 너무 불편하고, 이제품 만드시는 분들 사용 안해보시는 건가요? 아니면 제가 모르는 사용 비법이 있는건지... 너무 번거로워서 이걸 다 감수 할정도로 좋은 로션은 아닙니다. 재구매 용기 바뀌기 전까지는 안할거 같아요. 로션 3분의 1 정도 쓰고 버리실 분들, 다벗고 쓸때마다 열고 닫기 씨름할 시간과 힘이 있는 분들에겐 추천합니다.",1
1,"이 제품은 우연히 유튜브를 보다가 유튜버 소개 영상을 보면서 촉촉하고
가벼우면서 여름철에 하나로 딱 케어하기 좋다고 하셔서 한번 구매 해봤는데
너무 좋았어요 우선 제품 개봉을 하자마자 상큼한 레몬?향이 찐하게 나는 것도 아니고
거부감이 나는 향은 아닌데 시원하면서 딱 좋은 향 이였어요. 그리고 여름철에
메이크업 할 때는 조금만 두껍게 기초를 해놔도 베이스가 밀리거나 벗겨지는 경우가 많은데
스킨 케어 먼저 가볍게 해주고 이 제품으로 한번 더 흡수 시켜준 뒤에 메이크업 하면
메이크업이 밀리지도 않고 피부도 가벼워서 너무 좋아요.
겨울철에도 사용해도 될 것 같아요. 다만 여름보다는 양을 좀 더 많이 흡수 시키면 좋을 것 같습니다.",1
2,"보습에는 정말 좋은데, 생각보다 찐득하게 점성이 있는 제형이라 매일 쓰기에는 좀 무겁게 느껴지고, 가끔 피부가 많이 말랐다 싶은 날에 세수하고 나서 직후에 조금 톡톡 발라주고 난 뒤에 기초발라요 ㅎㅎ
이렇게 바르면 기초도 더 잘 흡수되고 피부 수분감 충전도 즉각적으로 되어 만족스러워요 ^-^",1
3,유분기 많은 제품을 사용하든.. 이것 저것 많이 바른다고해서 건조함이 없어지는게 아닌 것 같더라고요.. 이 상품은 토너 하나로도 겨울에도 촉촉함을 유지시켜 줘서 아주 만족하면서 사용하고 있습니다. 유분기 없이 건조함을 잡아주면서도 끈적임없이 잘 흡수됩니다.,1
4,"두번째 구입 이예요.
속 건조면서 겉으로는 기름기 올라오는 피부타입이라
가벼우면서 수분감 있는 화장품 써야하는데
세라마이딘이 딱 맞춤이예요.
가볍게 바르기도 하고 너무 땡길땐 스킨팩 하듯 사용해요. 이번엔 쟁여 두려구 2개 구입 했어요^^
단종 되지 말아요~~~~",1
5,"겨울에 건성 피부를 가진 사람이 쓰기에 딱 좋은 제품이예요. 2년 전 처음 알게 되어서 지금까지 3통 써봤는데 쓸 때마다 만족합니다. 화장솜으로 쓰다보니 더 많이 쓰게 되는거 같은데, 판매하시는 분이 맨손으로 쓰면 손에 다 스며들어서 영양이 얼굴보다 손에 더 많이 간다 하더라구요. 잘 쓰겠습니다. 번창하세요 :)",1
6,토너는 아무거나 별로 차이가 없다고 생각해서 가격 맞는걸로 그냥 주문한거였는데.. 정말 좋습니다. 스킨만 이 제품으로 쓰는데도 건조함이 없어졌습니다. 세럼도 크림도 좋을 것 같습니다. 앞으로 여기 제품으로 바꿔서 쓰면 좋을 것 같습니다.,1
7,"역시 믿고사는 닥터자르트 세라마이딘 라인...
절대 단종되면 안되요....ㅎㅎ

20대때부터 30대인 지금까지 쭈욱 구매합니다.


여름이고 겨울이고 .

!

트러블도 없고 오히려 피부가 더 좋아지는 느낌?ㅎㅎ


세라마이딘 리퀴드, 크림은 진짜 트러블없고
촉촉의 진리템입니당

추천해용!",1
8,"트러블케어는 아직 한번 밖에 사용안해서요^^
우선 순하고 끈적임이 없어서 좋아요.
피부에 착붙 느낌이 들어서 더 좋네요.
계속 사용하면서 트러블개선도 된다면 장기사용
의향이 있습니다. 우선은 전반적으로는 다 좋아요.
~",1
9,"생각보다 너무 작아서 솔직히 놀람!
그래도 다들 평이 좋길래, 기초화장품 제대로 하나 정착하자는 마음에 구매했다ㅠㅠ
어느날은 건조피부, 어느날은 개기름피부, 갈피를 잡을 수 없는 피부의 소유자라 기초화장품 방랑자인데 이번엔 부디 맘에 들고 정착하길!!",1
10,"늘 쓰던 제품. 다른 백화점 화장품 쓰다가도 결국 종착지는 닥터자르트 입니다. 피부병 때문에 고생하던 때부터 8년 정도 꾸준히 사용하고 있어요. 드라마틱한 효과라기 보단 건강한 피부를 만들어주는 느낌입니다. ^^
세라마이딘 리퀴드는 화장실에 두고 세안후 바로 발라주고 있어요 ~ 그리고는 화장대와서 세럼과 크림을 바릅니다. 그럼 하루종일 불안하지 않아요 ~!",1
11,처음 사봤어요. 좋은지는 더 써봐야 하겠지만 받자마자 놀랐네요. 넘 작아서 ㅎㅎ 150ml가 이렇게 작은지 몰랐어요. 케이스에 1 자가 지워져서 50ml로 되어있어서 샘플 보낸줄 알았네요. 에센스 제형같아서 오히려 바르기 더 좋아요,1
12,"항상 쓰던제품이고 정말 만족합니당
원래 피부가 예밈한 편이라 이것저것
비싼 화장품도 많이 써봤는데
닥터자르트 속는셈 치고 사영해보고선
지금 1년째 쓰고있네여~~
저는 3번씩 덧발라서 쓰고있구요
피부당김도 없어지고 너무 잘 맞아서
이것만 쓰네요 ~ 좋아요~!",1
13,소문대로 좋네요! 건성이라 유명하다는 수분에센스 써봤는데 2겹은 발라야 촉촉하고 만족스럽지 못했어요ㅠㅠ 토너지만 에센스로 쓰는데 제형이 아주 만족스러워요 10%정도 진득한 에센스 느낌? 무겁지 않은데 촉촉하네요! 역시 믿쓰닥,1
14,"일반 액체 토너보다 촉촉하지만 이거랑 로션만 바른다고 수분이 충전된 느낌은 아니였어요
아무래도 다른 수분이나 보습되는 크림이랑 같이 발라야 될거같아요
세라마이드크림 사려다 이거 산건데 봄이고해서 유분이 올라올까봐 이걸로 샀어요
전에 써본 거 산거라 무난했습니다~",1
