,content,ans
0,"이 제품 처음 써보고 이거다!! 했죠. 전에 알레르기로 인한 얼굴에까지 스트레스가 이만저만이 아니었는데확실히 씻고나와서 스킨을 바르면 가라앉는게 눈에 보일절도였으니까요ㅋ 진정효과는 너무 탁월한거같아요~ 속건조가 심해서 저는 스킨팩하듯이 한번바르고 다 스며들면 이어서 두세번 해주고나면 촉촉 쫀쫀보습 짱!! 이번에는 3겹화장솜과 함께 바디크림도 챙겨주셔서 써보고 좋으면 바디크림까지 ㅋㅋ 그리고 지인선물로 닥터지 블랙 스네일 크림 받아서 쓰고있는데 보습효과 느무 좋으네요~ 세트로 잘 쓰고 있답니다
토너 용량도 딱입니다. 다음에는 재주문 할께요!!",1
1,"꾸준히 사용중인 제품 입니다! 평소에 홍조, 건조함이 문제인데 진정 케어에도 좋아서 늘 사용중이에요. 사용하면서 뚜껑이 너무 약해서(시간이 지나면 제대로 닫아지지 않거나, 작은 충격에도 파손 됌)
항상 아쉬운 부분이었는데 이번에 리뉴얼 된 거 일까요? 뚜껑 위에 투명 캡이 씌워져왔어요! 뚜껑 걱정 없이 맘 편히 쓸 수 있어서 좋네요 👍🏻
앞으로도 계속 이 제품만 사용 할 예정입니다!",1
2,3일이면오겟지라생각하고 주문햇는데 배송이 너무 늦게왓구요 미리공지라도 해줫음 더빨리오는 상품으로주문햇을텐데~~그리고 원래 이정도의양인가싶어요?? 너무 가득차잇지않은거같아서요 제품이 좋아서구매햇지만 조금은 실망스러운부분이 있네요,1
3,"아이가 13살이 되니 티존 부위에 여드름이
올라오기 시작했는데, 수분부족 트러블 피부인 것 같아 촉촉하면서 트러블은 잠재워줄 제품을 찾다 닥터지 수딩크림만 우선 써봤는데 촉촉하고 티존 부위에 여드름이 덜 올라와서~ 토너, 스팟밤, 시카크림까지 하나 씩 추가했네요. 스팟밤은 뾰루지 올라올 때 발라주고 시카크림은 회복이 필요할 때 부위별로 발라 줍니다.
피부과에서 처방해준 약은 만 12세 이상 사용 권장이고 항생제 성분에 부작용 문구도 무서워서 못쓰겠더라구요.(의사쌤은 설명서 신경쓰지 말고 써도 된다 하셨 지만요...) 닥터지는 만4세부터 사용해도 되는 순한 제품이라 해서 믿고 사용합니다.",1
4,우연히 알게된 닥터지^^사용하면서 좋다는 생각이 점점 더 드네요.저를 포함 아들과 딸도 함께 쓰고 있어요.아들과 딸도 대만족입니다.닥터지만 쓰고 있어요.화장솜도 너무 부드럽고 좋아요.크림을 많이 발라도 무겁지 않고 가 벼워서 느낌 좋아요.강추합니다.,1
5,항상 수분크림만 써보다가 토너가 다떨어져서 토너도 닥터지꺼 써보자해서 찾던중 저렴한 가격에 살수있어서 좋았어요. 그렇다고 유통기한이 짧은것도 아니고 아직 써보진 않았지만 좋을것 같아요! 한달 사용후 또 리뷰 올리겠습니당~~ 많이 파세요~~😁😁😁,1
6,"군대에서부터 써오던 닥터지 토너입니다. 닥터지 올인원 로션과 수분크림도 있기 때문에 세트로 쓴다는 생각으로 항상 구매하고 있습니다. 피부도 약한 편인데 이거 쓰고 탈 난적은 없어서 더욱 믿고 씁니다.

사진은 박스에서 꺼내다가 떨어트려서 뚜껑이 부숴졌네요....

집에 있던 기존 용기가 있으니 뚜껑만 바꿔 끼우면 되니 상관은 없지만 가슴아프긴 하네요 ㅎ",1
7,몇년째 쓰는 제품인데 잘 쓰고 있습니다~ 뭐 피부개선이네 여드름에 좋네 이런건 모르겠고 그냥 진짜 무난하고 가격 착해서 쓰는제품..?? 비싸고 좋은 제품 써도 좋아지는지 모르겠고 하면 그냥 저렴하고 무난한게 최고 인거 같아요! 같이 주신 화장솜은 별루 인거같아요! 역시 화장솜은 스킨전용으로 쓰시는걸 추천 드립니다!,1
8,"좁쌀여-름, 여드름 조금 있는 지복합 피부임
순하다 , 무향이라 더욱 순하다, 순하기 때문에 자극이 전혀없다.
이마 좁쌀여__름 완화에 효과를 봄
각질 제거에 효과를 봤다 따로 필링패드 구매 안해도 될 정도다
피지 제거에 효과적임, 닥터지쓰고 피부 기름이 많이 줄었음

자극적이고 건조한 느낌이 들고 오히려 트러블 생기는 거 같아서 토너를 사용하지않은지 몇 년 됐는데 이 제품 쓰고 나서 계속 닥터지 토너 사용하려고 함. 진짜 추천..피지잡고 여-름 , 좁쌀여-갖춘 건 닥터지가 최고인듯 내 피부에 너무 잘 맞음 광고가 아니다 너무 ㅠㅠㅠ",1
9,요즘 피부가 갑자기 뒤집어져서 좁쌀여드름에 좋다는 화장품 다 사서 쓰는 중입니다 찾아보던 중 닥터지 레드 블레미쉬 수딩 크림이 좋다고 해서 써봤는데 진정도 되고 순하고 좋더라고요 그래서 같은 라인인 토너 까지 함께 사서 사용했는데 이것도 순하고 좋네요 선크림도 다 닥터지껄로 쓰고있는데 이 브랜드와 제 피부가 잘 맞는거같아요,1
