,content,ans
0,항상 애용하고있는 마녀공장 비피다 앰플 토너예요 자극없이 순하고 얼굴 피부결정돈에 너무 좋아요. 또 순해서 그런지 한번도 얼굴에 트러블 난적이 없답니다. 앞으로도 마녀공장의 비피다 애용할려구요. 친언니에게 처음 마녀공장 제품을 알려줬고 비피다는 언니가 사용해서 좋다고 들은 후 사용하게됐어요. 비피다가 좋은 이유는 좋은제품을 착한가격에 사용할 수 있다는 점이예요. 한번사면 몇달을 쓸정도로 대용량이라는 점도 너무 좋아요. 지인에게 추천해주고 싶을 정도랍니다. 비피다 바오옴 앰플 토너 안 사용해보셨다면 평범한 30대 중반인 제 후기 참고하시고 구매해보셔도 좋을것 같아요. 저도 지인들한테 마녀공장 제품들 소개 계속 해주려고요. 좋은 제품은 함께 써보면 좋다고 생각해서요. 비피다 바를때 저는 화장솜에 네다섯방울 올려서 얼굴에 흡수시켜주는데 최대한 토너량을 듬뿍 솜에 얹어서 사용하곤해요. 얼굴에 바를. 사용안해본 있답니다.,1
1,"구매한지 벌써 한달이라니^^저렴해서 미리 사놓고 이제 개봉했습니다.50대 초반이라서 이제품을 써도 좋은지 많이 걱정했는데,생각보다 괜찮은것 같아요.과연 마녀공장이네요.
처음 따르면 첫번째 사진처럼 묽고 투명합니다.조금 나두면 퍼지네요
세수하고 물기 하나없는 상태로 바르니까 건성인 제가 촉촉하다는 것은 수분 짱,
한 5분정도 있었는데도 에센스&로션 바르지 않았는데도 당기는 현상 없네요.그만큼 수분이 많은것 같아요.
끈적임 없고,미끌거림 없어서 좋다고 하네요. 로션 바르지 않고 스킨만 발라요.아들은~ 그리고 많은 용량이라 식구들이랑 같이 써도 오래 쓸것 같습니다.
저는 용량도 넉넉해서 좋구.나이 50대이상분들도 쓰시기에 아무 문제 없을것 같아서 강력 추천하겠습니다",1
2,"구매한지 벌써 한달이라니^^저렴해서 미리 사놓고 이제 개봉했습니다.50대 초반이라서 이제품을 써도 좋은지 많이 걱정했는데,생각보다 괜찮은것 같아요.과연 마녀공장이네요.
처음 따르면 첫번째 사진처럼 묽고 투명합니다.조금 나두면 퍼지네요
세수하고 물기 하나없는 상태로 바르니까 건성인 제가 촉촉하다는 것은 수분 짱,
한 5분정도 있었는데도 에센스&로션 바르지 않았는데도 당기는 현상 없네요.그만큼 수분이 많은것 같아요.
끈적임 없고,미끌거림 없어서 좋다고 하네요. 로션 바르지 않고 스킨만 발라요.아들은~ 그리고 많은 용량이라 식구들이랑 같이 써도 오래 쓸것 같습니다.
저는 용량도 넉넉해서 좋구.나이 50대이상분들도 쓰시기에 아무 문제 없을것 같아서 강력 추천하겠습니다",1
3,"피부가 아주 민감한 편은 아니지만, 혹여 제 피부랑 안 맞아서 트러블이 날까봐 고민고민하다 구매했습니다! 우선 토너 정말 좋아요 ㅠㅠ 닦아 내는 게 피부 자극이 많이 된다고 해서 저는 스킨팩만 1-2분 정도 해줬고 그 후에는 세럼-크림-흉터연고 순으로 발라줬는데 피부 결이 달라진 게 눈에 보여요! 부족했던 수분이 많이 채워져서 만족하고 있습니다 ㅎㅎ 보내주신 샘플들은 아직 전부 사용해보지는 못했지만, 써보고 괜찮다면 마녀공장 다른 스킨케어 제품도 구매할까 생각 중입니다!",1
4,"앰플토너라는 말에 걸맞게 적당히 미끈하고 촉촉한 제형이에요~
차갑게해서 닦토로 쓰고있는데 피부진정 잘 돼서 만족해요 :)
갈색병이라 보관하기엔 좀 더 안심되지만
환경을 생각하면 재구매가 조금은 망설여지는 제품..ㅠㅠ
그거 하나 아쉽네요!",1
5,"마녀공장제품 완전 좋아요. 클렌징오일부터 폼클렌징, 토너 등등 피부를 생각하는 마음이 극진해진 40대중반이라 이것저것 고가부터 망설이지않고 쓰는 사람이에요. 그런데 검색중 마녀공장 발견! 그뒤론 애용가에요. 무조건 좋습니다.",1
6,"안녕하세요!
정말 비피다바이옴스킨!
이거 진심입니다.
저는 건조한지성피부입니다.
요즘 피부트러블로 고생하고 있었어요
마녀공장 좋아서 항상쓰다가 쓰다가 피부트러블. .
너무심해서다시 써볼려고 비피다스킨 사용했는데
와. .
진짜 너무놀랐어요 마녀공장만쓸꺼에요 ㅠㅠ
그리고 일단 여기!
배송이. . .뭐 완전빨랐어요
그리고 샘플까지 ㅠㅠ !감사합니다
고민하지마시고 여기서사세요 !",1
7,마녀공장제품중에 비피다바이옴앰플토너는 처음 써보는지라 토너는 물같은 느낌이구요 닦아내는 용도이고 용량이 우선 커서 맘에 들고 아직 사용한지 얼마돼지 않아서 좋고 나쁘다고 말할수업지만 유해성분이 없어서 우선 그건 만족해요 . 더 사용해봐야 알수있겠죠,1
8,"제가 토너를 구매하는 조건은 1. 대용량(보통 500, 최소 400ml) 2. 저자극, 순한, 약산성 토너 3. 워낙 아끼는 것 없이 막 쓰기 때문에 저렴한 가격(최저가 기준 만 원대)
이 세 가지를 만족하는 토너 중에 후기가 괜찮고, 플러스 알파로 추가적인 기능(트러블케어나 진정효과 등)이 괜찮아 보이는 토너를 골라서 구매합니다.

마녀공장에서는 토너를 처음 구매해봤는데 아주 만적스러웠어요. 피부가 요즘 많이 민감해진 게 느껴져서 고민이었는데 피부장벽을 개선해준다길래 샀거든요.

물론 , 그래도 제가 이전에 써본 이 정도 가격의 다른 . 똑같은 화장솜에 같은 양을 묻혀서 바르는데도 바로 전에 쓴 토너보다 덜 자극적이고 부드럽게 닦여서 좋았구요. 한 번 더 손바닥으로 바를 때도 보들보들한 발림감이 . 트러블 문제도 없었구요. .",1
9,"라방때 구매했습니다.
일단 받아봤을때 포장 상태는 👎🏼.
바깥 택배상자는 멀쩡한데 왜 안에 제품만 난리인지 ㅠㅠ
증정용 패드는 저렇게 한쪽 찢겨지고 뚜껑이 확 열린 채로 와서 매우 찝찝 ,,
같이있는 토너 통은 먼지꾸덩이에 굴러다닌듯하고 ㅋㅋ
기획상품이라 비피다 시리즈 첫 구매해봤는데
제품이라도 좋길 바랍니다 😹",1
