,content,ans
0,"클린 뷰티 브랜드라서 믿고 구매하게 되었습니다. 일상에서 음식으로는 실천 못하지만, 화장품은
비건으로 쓰려고 해요. 자극도 없고 유분감도 충분히 있어서 피부가 편안하네요. 일전에 대나무 앰플도 잘 썼었어요. 재구매 의사 100프롭니다.
패키징도 친환경이고 좋아요. 나중에 용기를 유리병으로 교체해 주셨음 좋겠어요!",1
1,"어 완전 좋아요 강추요! 악건성이고 갑자기 면포성여드름이 심해져서 스트레스였어요. 피부과가서 약먹고+약바르고 기초는 이 제품만 사용했어요!
아침 물 세안 후 토너 2회정도 발라주고 건조하면 한 번씩 더 발라줬어요!
저녁에는 클렌징 후 2회정도 발라주고 크림 발랐어요! 크림 떨어져서 배송 오기 전까지는 토너만 사용했는데 건조하긴해도 다른 토너들에 비하면 안건조한편이었어요! 유분기도 적당히 있고 저는 좋았어요!

이 제품을 써서 피부가 좋아졌다곤 할 수 없지만 ! !",1
2,"순하고 좋다고 소문나서 사봤어요. 50대 어머니랑 쓰려고 샀는데, 콧물처럼 찐득한 제형은 아니고 물처럼 흐르는 제형인데 , 그렇다고 건조하지 않고 보습도 충분한거 같아요. 무색 무취에 가까운데, 아~~주 약간 은은한 꽃냄새가 나고 좋네요.",1
3,"딱 맞는 토너를 못찾아서 이것저것 썼는데
이걸로 정착할 것 같아요
지성피부라 번들거릴까 엄청 걱정했는데
가벼우면서도 수분감이 있어 아주 만족스럽네요
트러블 진정은 확 체감되지 않지만 기존에 없던
맘편히 쓰고있습니다",1
4,이 토너를 우연히 사용해보고나서부터는 이것만 찾게돼요. 피부자극도 없고 촉촉하고 맨질맨질해지는게 느껴지니까 다른거 못쓰겠어요.. 예전에는 토너는 그냥 닦아내는 용도라고만 생각했었고 그래서 늘 그냥 세일하는 저렴하고 적당한거만 사용했는데 그런 저의 생각을 완전히 바꿔버렸어요.,1
5,"원래는 타사 캐모마일 토너를 쓰고 있었는데, 요즘들어 세일을 안하더라구요. 그래서 비슷한 제품 찾아보다가 이 제품 있길래 구매했었어요.
별 기대없이 써봤는데 너무 좋은거에요. 찾아보니까 성분도 순하고 좋더라구요. 그래서 한 통 다 쓰고 재구매했습니다.
한 통 다 쓰고나서 제가 느낀 건 저는 수분부족형 지성피부인데 저한테 잘 맞았어요. 세안하면 속당김이 좀 느껴지는 편이었는데 속당김이 많이 사라졌어요. 그리고 뭔가 피부가 좋아졌다는 느낌이 확 들었어요.
다른 클렌징 제품이나 기초제품 다 그대로고 토너만 바꿨으니까 이 제품 덕 맞는 것 같아요!
저는 세안하고 이 토너를 화장솜에 묻혀서 피부 한 번 닦아주고나서 손으로 한번 더 발라주고 흡수시킨 다음에 수분크림 사용하고 있어요. 발랐을 때 자극이 없고 순하다는 느낌을 받았어요. 향도 거의 무향에 가까워서 사용하는데 거부감 안들었구요. 제형은 보통 닦토로 쓰는 물스킨보다는 약간 더 묽은 제형이에요.발랐을 때 보습과 피부진정에 좋은 것 같아요. .
단점을 꼽자면 가격대 때 몇개씩 사두고 쓰려구요. 오랜만에 잘 맞는 화장품을 찾은 것 같아 좋네요! 당분간 이 제품 계속 쓸 생각이에요!!",1
6,건조하고 홍조에 주사피부염 예민한 피부라 성분에 따라 얼굴이 따갑기도 해서 성분 괜찮은걸로 찾아 쓰는 중이에요. 지금 일주일쯤 사용했는데 극건조함으로 고생중인 저로썬 만족스럽네요. 세수하고 수건으로 닦으면 바로 건조해져서 화장실에 스킨을 두고 쓰는데 물처럼 가벼운건 화장대로 가는 동안에도 당기는데 이건 아주 살짝 오일리함이 있어서 훨 낫더라구요. 건성피부에 좋은것같아요.,1
7,이거 쓰기 시작한 이후론 항상 이거만 써요 제 정착템.. 몇통짼지 모르겠음.. 찾아보니까 작년 9월부터 쓰기 시작했네요ㅋㅋㅋ 오 딱 1년..이거 처음 샀을때 한달 리뷰에도 적었던 내용이지만..엄청 순하고 이거 하나만 발라도 촉촉해서 피부땡김 전혀 없음 이전까진 스킨케어 여러개 덧발라도 건조하고 당김이 안사라져서 뭔 오일도 바르고..바르는 화장품만 점점 늘어났는데 이거 쓴 이후론 스킨케어 이거 하나로 끝내도 촉촉함 그렇다고 끈적이는 재질도 아님 걍 완전 물같은데 약간의 오일리함 한두방울 들어간 느낌? 간편해서 최고좋음,1
8,"화해에서 후기가 좋아서 구매해봤습니다.
피부가 너무 예민해서 ㅠㅠ 좀만 안맞아도 뾰루지가 나거나 간지러운데 얘는 그런게 없어서 좋네요!
워낙 피부가 건조해서 이 스킨 하나만으론 보습을 채우긴 어려운거같구요. 비플레인스킨 기초로 쓰고 로션 및 크림으로 부족한 보습 채워주면 될것같아요.
저는 보습력도 중요하지만 제 피부에 맞는게 별로없어서 후기에 민감성 피부에도 잘 맞는다 해서 그게 맞을까 반신반의 했는데 좋네요^^ 두개 구매했는데 다쓰고 추가구매 해야겠어요~~~",1
9,끈적이지 않는 물토너예요. 향은 없고 저자극 진정효과가 있다고 하더라고요. 어린이부터 남녀 노소 모두 사용 가능하다고해서 마음에 들어요! 가격과 용량까지 마음에 들어서 구매해봤는데 토너만 단독으로 사용해서 촉촉함을 원하시면 욕심입니다~ㅋ 크게 지적할만한 단점이 없는 토너네요,1
10,"예민 피부인데 한달 사용 했으나 큰 트러블 없이 잘 사용중입니다.
토너라기 보다는 물을 바르는 느낌이라서 재구매를 할지는 고민 해야 할 거 같아요
자극적이지는 않으나 가끔 눈에 아토피가 올라오는데 그 부분이 닿으면 좀 따끔 거리는게 있어요~",1
