,content,ans
0,"배송도 빠르고 포장도 아주 잘 돼서 왔습니다.
토너랑 에멀젼만 쓰고 있는데 트러블 안나고 좋아요! 그리고 샘플도 엄청 많이 보내주시고 텀블러도 와서 기분이 너무 좋더라구요~~오프라인말고 이제 온라인에서만 구매하려구요~~",1
1,"초초민감 여드름성 피부여서 화장품 하나 사는 것도 겁나고 성분 검색 엄청나게 하는데 이 제품이 보여서 구매를 해보았는데요!
일단 대용량이어서 팍팍 쓸 수 있다는 점에서 만족합니다!
그리고 정말 말 그대로 순한 거 같아요
배송 오자마자 발라봤는데 모기두드러기처럼 올라오지도 않고 붉어지지도 않아요. 정말 ...ㅠㅠㅠ
최고입니다. 감사드려요 에뛰드 ㅠㅠㅠ
지금까지 산 제품들이 알고보니 알코올 들어가있고 그래서 엄청 뒤집어지고 난리여서 피부 쫙쫙 갈라지더라도 바를게 없어서 그냥 뒀는데ㅠㅠ 이젠 그럴 필요 없겠어요... 대박...",1
2,"에뛰드 순정시리즈 진짜 핵좋은거 모르는 사람 있으면 빨리 머리 속에 입력하라!!!
기본 용량 사용하다가 큰 용량 발견해서 샀는데
가격 넘 저렴해서 놀래부렀구~
그렇다고 유통기한이 짧은 것도 아니고 아주 넉넉하니 좋다 이거얏!!!
다 쓰면 또 사러 올게요!!!! 번창하소서!!",1
3,가격도 저렴하고 올리브영 배스트에 항상 있어서 구매해봤어요! 성분은 일단 순한 것 같습니다. 다만 너무 물... 같아서 이게 따로 토너라고 쓸 필요가 있을까? 싶기는 해욤. 그리고 너무 물타입이어서 저한테는 조금 건조한 것 같아용 ㅠ,1
4,묽은제형인데 자극없이 넘 순하고 편안해요~묽어서 안촉촉할것 같다란 생각을 하고 구매한건데 예상외로 촉촉하네요? 제가 민감트러블성 지성이고 더위 많이타서 넘 안바르면 금방 속당김이 생겨버리고 조금 유분이 과하다싶음 트러블 올라오고 적적량을 조절하기가 피곤한스탈인데 또 여름스킨은끈적이지 않는걸 선호하는데 유분이 막 있다고는 할 수 없지만 확 스며들어 증발하는 느낌은 아니였어요 제 피부엔...하지만 열오르는 얼굴에 진정효과가 좋네요 촉촉하지만 순해서 트러블걱정은 안해도 될것같은느낌예요,1
5,"진짜... 너무 너무 촉톡하고 순해요! 에뛰드 짜란다 짜란다 짜~~란~~다~~♥♥ 스킨 하나만으로도 너무 촉촉하고 부드러워서 진짜 만족하고 쓰고있습니다~ㅎㅎㅎ😊 7스킨법으로도 너무 좋아요!!!🤗🤗 스킨하고 로션만 바르는데 진짜 세상 촉촉해서 신세계...♥ 어쩜 이렇게 순하고 착한데, 가능까지 충실할수가...♥😂우리 에뛰드~ 섀도우만 쪼금 하는 줄 알았는데, 기초 맛집이였네용?😝순정라인 아주 칭찬합니다~!!! 더더 흥해서 마몽* 캐모마* 토너처럼 500ml 대용량이 나와주길 기다리겠습니다....♥♥♥ 저처럼 민감하고 얇은 피부에게 오아시스같은 순정라인....😍👍👍 아주 만족합니다!!!",1
6,"피부에 바르시면 약간의 무게감이 느껴지는

점성이 있는 액체타입인데 흡수가 잘 될지 궁금했

습니다.

평소에 토너나 스킨을 화장솜에 충분히 덜어내어

피부를 닦아내는 토너를 좋아하는데요.

코스알엑스 풀핏 프로폴리스 시너지 토너도 그렇

게 쓰기에 적절했어요.

너무 점성이 많으면 닦아내는 용으로 쓰기엔 부적

절한데 이건 그정도는 아니라서 화장솜에 적셔서

피부를 한번 사악 닦아주고

다시 손바닥에 덜어서 살살 문질러 먹여주면 피부

가 쫀쫀하게 되더라구요.

프로폴리스 때문에 끈적이는 느낌김이 드는 건 사실인데요.

적절한 양을 피부에 발라주고 두드리는 것보다는

부드럽게 롤링하여 흡수시켜준다는 느낌으로 바르면 잘 흡수되더라구요.

저녁에는 에센스 바르지않고 토너만 써도 촉촉함이 잘 유지될 정도입니다.



끈적임이 남거나 잔여감이 남는건 잘 흡수가 되지 않아서 그런것이기에

마사지해주듯이 힘을 주지 않고 살살 문질러서 쓰고 있어요.",0
7,"보이세요? 제가 올해 하반기에 구입해서 사용한 토너들입니다!!!!!!
미스트로 좋고 피부정리에 좋고 밤낮으로 5스킨해주면
극악무도한 건조도 다 커버되는 진짜 요물템이에요ㅠㅠㅜ여기가 싸서 매번 이용하는데 여러분도 꼭 사셔서 꿀피부되세요!!!😆💕💕💕",1
8,악건성이라 피부과에서 스킨 쓰지말라고 까지했는데 하도 평이 좋아서 한번 사봤는데 웬걸 이렇게 촉촉한 스킨은 진짜 첨이네요 에센스도 바르고 스며들면 땡기는데 이스킨은.바르고 5분이 지나도 전혀 안땡기네요 ph가 맞춰져서 진짜 이런건가? 신기하네요 ㅋ 재구매 의사 완전100 이예요,1
9,"저희 아버지가 향이 없는 스킨을 쓰고싶다고 하셔서, 향이 약하거나 없는걸로 여러가지 써보다 이 스킨을 찾아내서! 드디어 정착하셨습니다^^
떨어질때마다 매번 사드리고 있어요~ 유통기한도 좀 있어서(~2023.10월) 여러개 샀어요~",1
10,디렉터파이님 블로그보고 청보리필링이랑 순정이랑 같이 사서 청보리필링은 아침에 닥토용으로 쓰고 순정은 저녁에 물토처럼 쓰고 있는디 궁합최고... 한달반정도 쓰고있는데 트러블 하나도 올라오고 피부 색도 좋아지고 결도 좋아졌어요.,1
11,"임산부라 뭐라도 적게 들어간게 나을 것 같아 구매했어요~ 평소에 아무거나 발라도 딱히 트러블은 안생기는데 자극적인건 따가울 때가 있는 정도의 중건성 피부예요~
에뛰드에서 기초는 써 본 적이 없어서 반신반의 했는데 생각보다 좋네요~ 가벼운 플라스틱 용기에 입구도 에멀전이랑 토너에 맞게 꼼꼼하게 신경써서서 마음에 들어요~
무엇보다 자극이 없어서 좋네요~ 촉촉한 느낌은 크지 않지만 향도 거의 무향이고 자극이 없는지라 맘에 들어요~ 가격도 부담없어서 출산 후에도 가볍게 쓸 용도로 재구매할 것 같아요~",1
12,"유튜브 보다가 발견한 스킨입니다!
평소 건조해서 유분기가득 발랐었는데 수분이 부족했는지 오히려 더 트러블 나더라구용 😢 그래서 세수하고 순정 약산성 3스킨정도 발라주니 속까지 촉촉해서 너무 좋아요 !! 겨울에 늘 얼굴각질이 생겼었는데 요즘엔 각질이 하나도 없어요!! 굿!!",1
13,"며칠째 사용중인데 향도 적고 매우순한느낌이라 만족해요! 트러블케어보단 약간 정돈시키는 느낌이고 울긋불긋한거나 홍조가 좀 정리가 잘돼용! 토너로 많은 기능을 원하진 않아서 만족합니당
제형은 진짜 거의 물같아용 전 토너발라주고 젤로션이랑 크림발라주면 안건조하고 좋앗어영",1
14,"좁쌀, 화농성 여드름 나는 지성 피부이신 분들 한 번 사용해보셨으면 좋겠어요. 에뛰드 순정 토너 한 5통 쓰다가 혹시나 하는 마음에 다른 브랜드에 순한 토너 써봤는데 순정이 제일 나은 것 같아 돌아왔습니다. 지성 피부에 추천드려요! 배송도 빠른데 핸드크림 2개 사은품으로 주셨어요. 감사합니다 :)",1
15,기초는 항상 쓰고 나면 다른 제품으로 바꾸고 그랬었는데 이제 이 제품에 정착하려고 합니다(?) 한 1년 동안 엳드름으로 고생했었는데 이 제품으로 바꾸고 나서 엳드름이 정말 많이 줄어들었습니다. 예전엔 1주일에 한번꼴로 얼굴에 엳드름이 2-3개씩 나서 엳드름을 짜고 가라앉을 때쯤 다시 생겨서 흉이 가라앉을 날이 없었습니다 ㅠ 그런데 이걸로 바꾸고 나서는 한달에 한 두번 날까말까 하는 정도로 바뀌었네요. 덕분에 엳드름 짠 흉터로 울긋불긋한 피부가 많이 깨끗해졌어요. 원래 화장품 후기를 안쓰는 편이고 쓴다해도 짧게 간단히 쓰는 편인데 이건 너무 좋아서 길게 썼어요 ㅎㅎ 다 쓰고 나면 또 살거예요 감사합니다 🤣 (그런데 왜 엳드름이 입력할 수 없는 단어인지 모르겠네요... ),1
16,"여드름에 정말 효과가 있네요!! 지금까지 여드름에 500만원 이상 투자한 사람인데, (물론 이제 나이가 들어서 여드름이 안나는 거기도 하지만-ㅎㅎ) 이거 사용하고 난 다음날 얼굴이 환해 보여요-! 에뛰드 이거 단종하면 이거 만드신 박사님 납치해서 제가 회사 차릴꺼에요오오오~~ 영원히 충성충성 합니다. 죽을때까지 이거 단종시키지 말아 주세요ㅠㅠ 젭알!!!❤️❤️",1
17,일단 이거 두통째 사용중인데 약산성이라 그런지 정말 자극 별로 없었구요 이 토너로 닦토하고 미스트 한번 뿌리면 피부 깨끗해져요 원래 피부가 안좋은편이라서 그런지 모르겠지만 그래도 약간 민감성이거든요 근데 좋습니다 고민되시는분들 한번 구매해서 사용해보세요,1
18,"정말 딱 순해요 ~
4계절 무난하게 사용하기 너무좋아여
벌써 2통째 대용량으로 사용하고 있는데
닦아내는 용으로 찰떡이에요

해요

오늘출발이라 구매하고 바로 받아서
배송 만족도 진짜높아요",1
19,"피부에 자극도 없었고 피부화장 전에 깨끗하게 닦아내는 용도로 쓰고 있는데, 저는 피부가 많이 약해서 그런지 순한 것만 써야해요. 그런데 이 순정토너는 하나도 자극이 없었고, 오히려 피부에 붙은 먼지나 보이지 않았던 이물질들이 잘 제거되어서 너무너무 만족합니다!! 아마 다음에 또 사지않을까 싶어요ㅋㅎ",1
20,좋아요! 피부 트러블 때문에 피부과에서 처방받은 로션만 발랐었는데 넘 건조해서 구매했는데 촉촉하고 좋아요. 저는 닦토 안하고 토너 팩 하고 있는데 진정도 되고 촉촉하고 순하고 맘에들어요. 완전 듬뿍 쓰고 있어서 조만간 또 구매할 예저입니다!,1
21,"평소에 쓰던 제품이에요
겨울에는 약간 보습력이 떨어져서 크림이랑 같이 씁니다.
양도 많구 가격도 착하구 순한것 같아요.
이 제품 사용하면서 트러블이 많이 안났습니다.
트러블 안나면 일단 반은 먹고들어가니까요.
순한것 같아요",1
22,진심 스킨과로션 자극없이 촉촉하니 좋습니다 몇년째 에뛰드 순정만 이용하고 있는데 이걸로 바꾸고 나서 트러블이 확연히 줄었습니다 이 제품은 겨울보다는 여름에 사용하기 좋아요 겨울엔 이거 바르고 보습제품 하나더사용중입다,1
23,저는 겨울에 아주 극건성이라서 이거 무겁다는 분들 많던데 저는 아주 잘 쓰고 있습니다 좁쌀 났다는 분도 있던데 저는 오히려 트러블이 잘 안나는것 같아요 원래 하루에 하나씩 여드름 나는 사람인데..무튼 제 피부에는 이거만한게 없다능,1
24,약산성제품의 진가를 알고 몇년전부터 클렌징부터 하나씩 바꿔서 지금은 다 약산성 쓰고 있습니다~~악건성였지만 언제부터인지 들 당기고 피부랑 머릿결도 좋아지더군요 그리고 에뛰드 순정이 양도 많아서 오래쓰고 좋아요 강추입니다,1
25,이거로 3스킨에서 5스킨 정도 하면 정말 촉촉해서 좋아요 진짜 피부 예민한데 이거 쓰고는 턱에 호르몬 때문에 큰 여드름 나는거 말고는 볼이랑 턱에 나는 좁쌀 여드름 다 사라졋어요! 이런 스킨 찾기 어려웠는데 잘 맞는거 찾아서 행복합니다... ㅠㅠ 가격도 착하구요! 재구매 계속 할꺼 같아요,1
26,"늘 쓰던거라 구매했어요 ㅎㅎㅎ 무향에 일단 피부가 예민해서 안 맞는거 쓰면 무조건 바로 가렵고 달아오르는 편인데 이건 그렇지가 않아서 이걸로 스킨팩도 가끔 하고 해요 ㅎㅎㅎ 호르몬 때문에 피부 뒤집어 지는건 어쩔 수 없지망 그럴때 아니면 원래 피부 촉촉하게 유지가
잘 되서 자극없는걸로 대 만족 합니당",1
27,두통사서 동생이랑 같이 한달 넘게 쓰고 있습니다 진짜 순한것 같네요 향도 없고 마냥 물 같아요 세안 하고 화장솜에 묻혀 바로 닦아내면 당김이 금새 없어지고 피부가 정리 진정 됩니다 뒤에 에센스도 잘 흡수시키고 가격대비 만족하는 제품입니다 계속 사용 할것 같아요,1
28,"복합지성 남자입니다
지인의 추천으로 사용하길 벌써 4통째네요
다른 토너보다 확실히 피부자극에도 덜한거 같고 트러블도 나지 않아 너무 잘 맞는것 같습니다.
올리브영에서 화장솜 구매해서 아침 저녁으로 세안 후 바로 사용합니다",1
29,"트러블 케어가 되는지는 모르겠지만 무향,무색에 아주 순해서 그냥 수분을 채워주는 느낌이에요. 피부가 심하게 민감하지는 않지만 로션이나 폼클렌징 잘못쓰면 바로 트러블올라오는 편인데 이건 그런거 없이 수분만 채워주는 것 같아서 만족합니다. 재구매할게요.",1
