,content,ans
0,"트러블이 요새 자주나서 (마스크,스트레스) 한통 후딱 써서 추가 구매했습니다.
올리브영에서 파는 물 많이 먹는 솜을 써서 그런지 너무 빨리 소비되서 2개 샀습니다.
트러블이 좀 없어지는 느낌이에요 좋아요 :)
가격 착하고 배송 빨라요 추천!",1
1,"피부 트러블 있는 사람한텐 완전 좋은거 같아요.확실히 다른 스킨 쓰다가 이거 쓰면 피부가 달라지는게 보여요~ 신기해요 ㅎ 자극도 없고 효과도 없게 생겼는데 왜 이렇게 좋은건지 ㅋㅋ 올해 초부터 원래 가끔 한 두 개만 올라오던 트러블이 갑자기 입 주변으로 번지면서 너무 스트레스가 심했는데 더바디샵 티트리 토너, 오일, 폼클렌징 이런걸 써도 너무 자극적이고 오히려 효과없이 더 피부가 안 좋아졌는데 작년에 사용하던 얘가 한 병 있던게 생각나서 혹시나 하고 사용해봤는데 헐~ 토너 하나로 피부 진정에 도움이 조금 됐다는게 이번에 경험해보곤 좀 신기했어요. 그래서 다 떨어질까봐 4병 더 주문했네요. 얘는 없어지면 안될거같아요 ㅜㅜ 절대 단종 안됩니다 ㅋㅋ 착한 가격에 히알루론산이든 좋다는 토너나 앰플 다 써봤는데 그냥 이 토너 하나에 마스크팩 진정효과 있는거 같이 사용하면 좋은거 같아요!! 이번에 피부 뒤집어지고 얘의 찐 효능을 알게 됐네요. 강추합니다!!!",1
2,"쓰던 제품이 단종되어 다양한 제품을 사용해보는 중인데, 저렴하고 평이 좋아 사용해보았습니다.
스킨을 화장솜에 덜어 닦아 쓰는 건 피부에 자극되어서 트러블이 생깁니다. 그만큼 피부가 많이 예민한데, 손에 덜어 사용하면 그나마 괜찮습니다만 턱에 트러블은 전혀 가라앉지 않고 한 달 내내 함께했습니다ㅠㅠㅠ",1
3,지복합 여드름성 피부인데 다른건 못쓰겠고 이것만 쓰고있어요. 자극없이 산뜻하고 좋아요. 가볍게 닦아내는 용으로 많이 쓰고 있어요. 트러블이 토너로 인해 크게 좋아지거나 하는건 아니지만. 자극없이 트러블이 더이상 생기지 않게 해주는거 같아서 계속쓰고 있어요,1
4,"아직 사용한지 몇일 되지 않았지만, 같은 라인의 클렌징폼과 함께 사용해보고싶어 주문했어요. 트러블케어에 좋다고 해서 구매했어요. 저는 클렌징밀크를 사용 후 요 제품으로 기초 첫 단계를 사용해요. 물제형으로 향도 거슬리지 않고 화장솜에 듬뿍 묻혀 피부결 따라 닦아 내듯 사용하고있어요. 트러블 부위엔 티트리오일을 면봉에 한방울 찍어 바르고 잔 뒤 오전에 일어나보니 다른 스킨 사용할때보단 가라앉은 것을 유관으로 확인 가능했어요. 따끔거리지도 않고 사용하기 편리해서 꾸준히 사용해보고 괜찮으면 또 구매하려구요!",1
5,일단 배송이 빠른 편은 아니에요. 그래도 이전 부터 쓰던 제품이라 역시 후회하지 않고 만족하면서 잘 사용하는거 같아요. 아마 다음에도 여기서 이걸 살 듯 싶네요. 사진은 다른분들이 올리신거 참고하시면 될거 같아요. 이상입니다.,1
6,"한 통 다 쓰고 두 번째로 시켰어요! 오프라인으로 산지라 좀 비쌌어서 다시 안 사려고 다른 토너 한 번 썼는데 트러블이 올라오더라고요... 그래서 후다닥 조금 남은 비자 토너 쓰니까 다시 괜찮아져서 한 통 더 시켰습니당. 10,500원으로 싸게 샀어요!! 대용량으로 내줬으면 하는 토너예요!! 500ml 존버합니다ㅠㅁㅠ 배송도 토요일 날 시켰는데 월요일 날 왔어요! 근데 그렇게 촉촉한 편은 아니라서 다른 거랑 레이어드 해서 써야 합니당~",1
7,"피부트러블이 심한 저에게는 아주 만족스러운 제품이라 벌써 3통째 사용중입니다. 일반 트러블없으신 분들에게는 가벼울 수 있지만, 피지와 유분관리가 필요한 트러블 피부에게는 촉촉하면서 피부결도 정리되고 나름 좋습니다. 아예 트러블이 사라지거나 완전히 완화되는 극적 변화가 일어나는 것은 아니지만 순하고 잔잔한 제품이라 더욱 만족스럽습니다.",1
8,"이니 스킨케어제품들이 잘맞지 않아 고민하다가
주문했는데 흡수도 빠르고 이니제품중
괜찮은것같아요!! 밤과 젤은 사용중인데
스킨은 처음쓰는만큼 혹시나 트러블 날까
했는데 괜찮네요!! 모태지성인이라 아무거나 못쓰는 편인데 비자라인은 다 괜찮네요",1
9,"이전에도 사용했던 것이라서 주문했어요. 비자 라인 중에 스킨이 두 가지 종류인데 이건 닦토용이라서 그런지 약간 알콜 같이 날라가는 느낌이 있지만 많이 자극적이진 않아서 저는 괜찮았어요.

비자시카젤은 호르몬 때문에 올라오는 트러블(ㅇㄷㄹ이 필터링 단어네요 왜지?)도 잠재워주는 효과를 톡톡히 누렸는데 스킨은 잘 모르겠어요. 무매력이 매력인 느낌?

토요일에 주문했는데 월요일에 배송 받을 줄 몰랐어요 빠른 배송에 감탄하고 샘플도 챙겨주셔서 좋았어요. 감사합니다 잘쓸게",1
10,남자친구가 쓰던거라 샀어요 여름엔 로션은 못쓰는데 겨울되니까 얼굴이당겨서요. 여ㄷㅡ름 날때 이것만썼었대요 그래서 다시 샀어요 큰 효과는 기대안하는데 남자친구가 워낙 좋아하고 뭐 겪어본사람이 더 잘알겠죠ㅎㅎ 계속쓸거같아요,1
