,content,ans
0,"한율 빨간쌀 진액 스킨 저의 최애 제품 입니다. 너무 잘 구매하였습니다.보습력이 뛰어나고 ,자극도 전혀 없고 ,다른 스킨과는 다르게 건조하지도 않고 메마르지도 않아요.로션 제형이 섞인 토너스킨 바른 것 처럼 수분을 머금 듯 유분감이 오래 남습니다.또 너무 이쁜 살구색의 핀도 보내주셔서, 완전 횡재했어요^^",1
1,스킨인데 주르륵 흘러내리지 않아 얼굴에 바를 때 어려움없이 슥슥 바르기 좋고 촉촉함이 정말 최고에요! 왜 인기제품인지 바로 알 것 같아요! 혹시나 피부에 맞지 않을까봐 체험단 이벤트 상품 구입한 건데 본품 바로 살 걸 그랬나봐요👍🏻,1
2,"1. 이 리뷰는 제가 저의 집사람에게 사준 화장품인 한올 빨간색 진액스킨 150ml를 직접 사용하고 있는 집사람의 사용기를 듣고 제가 대신 작성한 것입니다.
2. 집사람에 의하면 한달정도 사용했는데 발림성이 좋고 촉촉한 점성이 오래가며 자극없이 상쾌한 기분을 장시간 유지하는 등 매우 만족스럽게 사용하고 있습니다.
3. 이제까지는 같은 제조회사의 제품이지만 다른제품을 사용했었는데 이번에 처음 사용한 제품이 과연 피부트러블이 없이 잘 사용할 수 있을까 하고 염려도 했었지만 아직까지 문제없이 만족스럽게 사용하고 있습니다.
물론 사용하는 사람의 피부에 따라 적응도에 차이는 있겠지만 충분히 추천할 만 하다 생각되며 저는 앞으로도 계속 사용할 것 같아요.
좋은 제품입니다.",1
3,"역시 쌀밥 먹는 사람에겐 쌀로 만든 화장품이져~
약간 손소독제 같은 재형이라서 촉촉한게 맞을까 했거든요.
그런데! 촉촉하게 잘 발리고 톡톡 두드리니 금방 흡수 되더라고요. 바른 후에도 건조한 느낌 없이 보송보송 오래 유지돼서 좋았어요.",1
4,"배송 잘 받앗습니닷:-)
스킨 하나 주문햇는데 마스크팩4개랑 쑥 진정세트에 진액쌀스킴에센스샘플까지 정말 많네요!
얼마전구매해서 사용하고잇는 유자 슬리핑팩 대용량샘플도!! 잇힝!!
빨간쌀 스킨은 샘플로 써보앗는데 너무 잘 맞더라고요 요즘같은 찬바람불고 건조한날에 보습은되는데 너무 유분은 많지않아 딱이에요!
근데 진짜 이 스킨샘플 사용해보니 정말 저한테 잘맞는거에요! 그래서 주문햇어요 잘 사용할게요!!",1
5,"불필요한 박스 포장이 아니라 패키지부터 마음에 들었어요~ 요즘 날이 추워지면서 피부가 많이 건조해졌는데, 촉촉하게 보습되는 것 같아요!! 특히 여주 현미를 발효한 스킨이라 그런지 피부에 순하게 자극 없이 올라가는 느낌이 좋아요! 잘 쓰겠습니다. ^^",1
6,주문하고 바로 다음날인가 도착했는데 어제 오늘 써보고 후기 씁니다 스킨이라고 해서 물같을 줄 알았는데 알로에 수딩 젤 같은? 제형 그런거였어요 ㅋㅋ 플라스틱 살짝 힘주면 한 번 쓸 분량 나오고 촉촉한거 같습니당 좀 더 써봐야 알겠지만 현재로써는 만족합니다,1
7,"지성 타입 피부라 유분이 올라오는게 늘 신경 쓰여 워터 제형, 가벼운 제형의 기초 제품만 사용했었어요.무거운 느낌이 싫어서 겨울에도 크림은 잘 안 발랐구요. 닦토->에센스->로션 이렇게 3개만 발랐었어요. 그런데 이렇게 발라도 계속 유분은 올라오더라구요. 왜 그런가 싶어서 찾아보니 너무 피부에 유분(보습)이 없어도, 유수분 밸런스가 맞지 않아서 유분이 더 올라온다고 하더라구요..늘 가벼운 제품만 썼던터라 크림은 도저히 엄두가 안 나고... 그러던중 알게 된 제품이 ‘빨간쌀 진액 스킨’이에요. 사실 지성 피부 타입분들은 아시겠지만 ‘진액’이라는 단어에 굉장히 거부감이 들어요.. 저도 그랬구요...초록창이며 어플이며 다 찾아봤는데 ‘보습’에 대한 후기가 정말 좋아서 믿고 구매했는데 정말 잘 한 선택 같아서 후회 없네요^^제형이나 느낌이 알로에겔에 물 살짝 탄 느낌이에요~ 엄청 진득한 콧물제형(?)을 생각 했는데 몽글몽글 말랑말랑 젤리같은 제형에 더 가까워서 부담감이 없었고, 처음에 바르고 솔직히 평소에 쓰던 제품들 보단 아무래도 무거운 쪽이라 바로 흡수가 안 되는 느낌이었어요. 열심히 챱챱 손으로 두들겨서 흡수 시켜 주니까 ‘속까지 꽉 수분 보습이 찬 느낌이 이런 느낌이었구나~’하고 . 정말요! 겉도는 느낌 없어요! 지성이신 분들은 아시겠지만 겉도는 기초제품 사용하면 ‘..’하는 예상 하시잖아요. 그런데 그런 생각도 느낌도 전혀 없어요.못 쓰는 수부지이신 분들, 산뜻한 보습 기초 화장품으로 한율 빨간쌀 진액스킨 살포시 추천 드려봅니다. :)",1
8,원래 한율 제품 좋은것도 알고 있었고 워낙 순한제품이라 사용도 하고 있어서 고민없이 구입했어요 빨간 스킨은 다른 스킨보다 조금 점성이 있어서 바르고 나서 촉촉함을 더 잡아주는거 같아요 트러블생기면 요 스킨만 사용해보려고요,1
9,"빨간쌀 진액스킨 제가 써봐도 좋아서 엄마 선물해주려고 이번에 구매했습니다~~
사은품 까지 빵빵하게 챙겨주셔서 대만족이에요!!
다쓰면 또 구매하려구요.
스킨 통도 예쁘고 스킨은 촉촉하고 향도 괜찮고 좋은거 쓰는 느낌입니다!!",1
10,"[구매 계기]기존에 한율 어린쑥 라인을 사용하고 있었는데 겨울이 되고 아무래도 건조해지다 보니까 좀더 보습이 되는 제품을 찾다가 이번에 빨간쌀 라인이 리뉴얼 되었다고 해서 구매해봤어요! 광고에서나 상세설명에서 찰벽보습을 강조해서 보습에 대한 기대감이 정말 높았어요.[첫인상]다른사이트 보다 지마켓이 상품구성이 좋아서 여기서 구매하게 되었어요.택배박스를 여는데 사은품이 풍성해서 본 제품 조기도 전에 너무 만족스러웠어요.여행용으로도 너무 좋고 빨간쌀 에멀젼이랑 크림까지 써볼 수 있어서 너무 좋았어요. 같이 온 패브릭 천도 인테리어 용으로 걸어놓기에도 예쁘더라구요. 사은품까지 세심히 신경쓰는 지마켓&한율! 센스 만점입니다❤️[제형&제품력]구매할 때는 스킨이라고 해서 물제형의 스킨이려나 했는데 꾸덕한 에센스 타입의 스킨이더라구요. 제형이 꾸덕하다 보니 닥토로 쓰기보다는 퍼스트에센스로 세안 후 바로 바르는 것이 좋을 것같아요. 소용량만 발라도 피부전체에 다 흡수가 가능하고 보습이 더 필요할 때는 두세번 더 덧발라주었어요. 특히 제일 마음에 드는 점은 꾸덕한 타입의 에센스 제형인데도 바를 때 두껍게 발리지 않고 가볍고 산뜻하게 발려서 피부가 무겁지 않아서 좋아요. 아침에 스킨 하나만 바르고 충분히 흡수시켜주고 피부화장을 했는데 정말 잘먹었어요. 저녁에도 여러번 바르고 흡수시켜주니까 굳이 크림까지 안발라도 . 저는 건성타입의 피부인데 발랐을 때 유분이 많거나 너무 답답한 제품은 선호하지 않는데 이 제품은 제형은 꾸덕한데 발리는게 정말 가볍고 기대 이상으로 만족했습니다. 겨울에 계속 사용하려고 구매한 제품인데 4계절 내내 사용해도 괜찮은 제품인 것같아요..좋은 원료 쓰기로 유명한 한율인 만큼 믿고 구매했는데 정말 200% 만족한 쇼핑이었습니다.한율은 제품력도 좋고 가격도 합리적인 편이고 믿을 수 있는 아모레퍼시픽 브랜드라서 정말 늘 믿고 사는 것같아요. 세계적으로 유명한 명품브랜드 못지않게 아니 그 이상으로 정말 제품력 너무 좋아요👍[이런분들에게 추천]건성타입이지만 무거운 타입의 제품은 싫어하시는 분, 산뜻하고 가볍게 흡수되는 제품을 원하시는 분, 세안 후 퍼스트에센스로 적당한 제품을 찾는 분, 속건조를 잡아주는 에센스를 원하는 분들에게 강력 추천합니다!",1
11,예전에 샘플지로 한 번 써봤는데 체험단 올라와서 50미리로 구매해보았습니다 한율에서 나온 진액스킨은 안좋았떤 적이 없었거든요 제형자체가 일단 마음에 들어요 물같은 스킨은 별로 좋아하지 않아서ㅎㅎ 흡수력도 좋고 번들거리지도 않아서 좋아요 아마 다쓰고나면 본품구매해서 계속 사용할 것 같습니다,1
12,언니 선물용으로 사서 저는 쌤플만 써 봤어요. 병을 기울여도 흐르지 않을 정도의 제형이구요. 살짝 핑크 색깔이 너무 예뻐요. 바르면 쫀득한 느낌이 들어요.에센스느낌이 살짝나요. 향도 있는데 거슬리는 느낌은 아니예요. 선물 받은 언니도 무척 마음에 든다고 하네요,1
13,2024년 3월18일까지인 제품으로 받았어요!샘플없이 본품만 배송왔고(보통 샘플 있으면 상세이미지에 증정샘플 포함된 사진이 있어서 알고는 있었어요)본사공식몰 판매상품이라 포장요청드렸더니 동영상 다음에 올린 사진과 같이 포장되어 받았습니다~^^,1
14,한율 스킨케어는 향기가 일단 너무 좋아서 너무 좋네요 진액스킨 유분과 수분이 적절해서 제 피부에는 지금같은 계절에 쓰기 너무 좋습니다. 제 피부는 복합성이라 스킨케어도 두개씩 쓰는 편인데 진액스킨은 흡수력이 좋아서 그럴 필요 없을 것 같습니다 다 쓰고 재구매하러 오겠습니다,1
15,".총 만족도 : ★★★★★.* 배송 및 가격: 빨간쌀 진액스킨 출시 기념으로 할인행사 및 증정까지 푸짐했고,주문한날 출발하여 구매한지 하루 만에 받아볼 수 있어 정말 만족해요.* 사용 후기: 기존에 사용하던 한율 쌀진액스킨이 얼마 남지 않아 구매하려던 참에이렇게 새롭게 리뉴얼 되었다는 반가운소식을 만났네요..기존 쌀진액스킨도 정말 만족하며 사용했는데, 여주현미를 2번이나 발효하요 깊은 피부보습을 느낄 수 있다고 해빨간쌀 진액스킨과 로션, 크림, 미스트 등 리뉴얼 된 빨간쌀라인 4종을 함께 구매했어요..제일 먼저 사용하는 빨간쌀 진액스킨은 기존의 쌀 진액스킨과는 다르게조금 점성이 있는 제형으로 응축된 에센스의 제형이었어요.이 전 쌀진액스킨과 나란히 놓고 비교해보니 확연한 차이를 볼 수 있었어요.기존에는 가볍지 않으면서 워터리한 제형이었다면,새롭게 리뉴얼된 빨간쌀 진액스킨은 에센스에 가까워 피부에 흡수가 더 잘되는 느낌이었어요.자극적인 느낌은 전혀 없었고, 보습이 정말 잘 되며 끈적임은 적어 피부에 바로 착 흡수되었으며보들보들한 피부가 완성되었어요!해주니 정말 만족스럽더라구요.피부 속에 수분을 가득 채우고 가두어 주는 느낌이랄까요?아침에 바르면 퇴근 할 때까지, 밤에 바르고 자면 아침까지 항상 촉촉했고,들뜸없이 편안한 피부가 되었어요. (그래서 !).저의 사용팁은,저녁에 스ㅡ킨을 바를 때 손바닥에 덜어서 볼, 턱선 부분을 손으로 잘 감싸 1분여 동안따뜻한 열기로 살짝 눌러주면 더 편안하고 보들보들한 피부를 만들 수 있어요.흡수도 정말 잘되고 보습이 제대로 되는 걸 느낄 수 있었구요..빨간쌀 진액스킨은 일주일 정도만 써봐도 좋다는 걸 바로 느낄 수 있는데,보면 더 촉촉한 피부가 되고 보습으로 꽉 찬,정말 달라진 피부를 그대로 느낄 수 있어요.또한 스킨 뿐 아니라 빨간쌀 진액라인 - 에멀젼, 진한 피부보습을 느낄 수 있답니다^^'순하면서 곽찬 피부보습을 24시간 느끼게 해주는 겨울철, '..",1
