,rating,time,content,label
0,평점5,21.01.20.,"이 제품 처음 써보고 이거다!! 했죠. 전에 알레르기로 인한 얼굴에까지 스트레스가 이만저만이 아니었는데확실히 씻고나와서 스킨을 바르면 가라앉는게 눈에 보일절도였으니까요ㅋ 진정효과는 너무 탁월한거같아요~ 속건조가 심해서 저는 스킨팩하듯이 한번바르고 다 스며들면 이어서 두세번 해주고나면 촉촉 쫀쫀보습 짱!! 이번에는 3겹화장솜과 함께 바디크림도 챙겨주셔서 써보고 좋으면 바디크림까지 ㅋㅋ 그리고 지인선물로 닥터지 블랙 스네일 크림 받아서 쓰고있는데 보습효과 느무 좋으네요~ 세트로 잘 쓰고 있답니다
토너 용량도 딱입니다. 다음에는 재주문 할께요!!",1
1,평점5,20.12.19.,"꾸준히 사용중인 제품 입니다! 평소에 홍조, 건조함이 문제인데 진정 케어에도 좋아서 늘 사용중이에요. 사용하면서 뚜껑이 너무 약해서(시간이 지나면 제대로 닫아지지 않거나, 작은 충격에도 파손 됌)
항상 아쉬운 부분이었는데 이번에 리뉴얼 된 거 일까요? 뚜껑 위에 투명 캡이 씌워져왔어요! 뚜껑 걱정 없이 맘 편히 쓸 수 있어서 좋네요 👍🏻
앞으로도 계속 이 제품만 사용 할 예정입니다!",1
2,평점2,21.04.17.,3일이면오겟지라생각하고 주문햇는데 배송이 너무 늦게왓구요 미리공지라도 해줫음 더빨리오는 상품으로주문햇을텐데~~그리고 원래 이정도의양인가싶어요?? 너무 가득차잇지않은거같아서요 제품이 좋아서구매햇지만 조금은 실망스러운부분이 있네요,0
3,평점5,20.08.07.,"아이가 13살이 되니 티존 부위에 여드름이
올라오기 시작했는데, 수분부족 트러블 피부인 것 같아 촉촉하면서 트러블은 잠재워줄 제품을 찾다 닥터지 수딩크림만 우선 써봤는데 촉촉하고 티존 부위에 여드름이 덜 올라와서~ 토너, 스팟밤, 시카크림까지 하나 씩 추가했네요. 스팟밤은 뾰루지 올라올 때 발라주고 시카크림은 회복이 필요할 때 부위별로 발라 줍니다.
피부과에서 처방해준 약은 만 12세 이상 사용 권장이고 항생제 성분에 부작용 문구도 무서워서 못쓰겠더라구요.(의사쌤은 설명서 신경쓰지 말고 써도 된다 하셨 지만요...) 닥터지는 만4세부터 사용해도 되는 순한 제품이라 해서 믿고 사용합니다.",1
4,평점5,21.05.06.,우연히 알게된 닥터지^^사용하면서 좋다는 생각이 점점 더 드네요.저를 포함 아들과 딸도 함께 쓰고 있어요.아들과 딸도 대만족입니다.닥터지만 쓰고 있어요.화장솜도 너무 부드럽고 좋아요.크림을 많이 발라도 무겁지 않고 가 벼워서 느낌 좋아요.강추합니다.,1
5,평점5,20.07.29.,항상 수분크림만 써보다가 토너가 다떨어져서 토너도 닥터지꺼 써보자해서 찾던중 저렴한 가격에 살수있어서 좋았어요. 그렇다고 유통기한이 짧은것도 아니고 아직 써보진 않았지만 좋을것 같아요! 한달 사용후 또 리뷰 올리겠습니당~~ 많이 파세요~~😁😁😁,1
6,평점5,20.12.17.,"군대에서부터 써오던 닥터지 토너입니다. 닥터지 올인원 로션과 수분크림도 있기 때문에 세트로 쓴다는 생각으로 항상 구매하고 있습니다. 피부도 약한 편인데 이거 쓰고 탈 난적은 없어서 더욱 믿고 씁니다.

사진은 박스에서 꺼내다가 떨어트려서 뚜껑이 부숴졌네요....

집에 있던 기존 용기가 있으니 뚜껑만 바꿔 끼우면 되니 상관은 없지만 가슴아프긴 하네요 ㅎ",1
7,평점5,21.03.01.,몇년째 쓰는 제품인데 잘 쓰고 있습니다~ 뭐 피부개선이네 여드름에 좋네 이런건 모르겠고 그냥 진짜 무난하고 가격 착해서 쓰는제품..?? 비싸고 좋은 제품 써도 좋아지는지 모르겠고 하면 그냥 저렴하고 무난한게 최고 인거 같아요! 같이 주신 화장솜은 별루 인거같아요! 역시 화장솜은 스킨전용으로 쓰시는걸 추천 드립니다!,1
8,평점5,20.11.20.,"좁쌀여-름, 여드름 조금 있는 지복합 피부임
순하다 , 무향이라 더욱 순하다, 순하기 때문에 자극이 전혀없다.
이마 좁쌀여__름 완화에 효과를 봄
각질 제거에 효과를 봤다 따로 필링패드 구매 안해도 될 정도다
피지 제거에 효과적임, 닥터지쓰고 피부 기름이 많이 줄었음

자극적이고 건조한 느낌이 들고 오히려 트러블 생기는 거 같아서 토너를 사용하지않은지 몇 년 됐는데 이 제품 쓰고 나서 계속 닥터지 토너 사용하려고 함. 진짜 추천..피지잡고 여-름 , 좁쌀여-갖춘 건 닥터지가 최고인듯 내 피부에 너무 잘 맞음 광고가 아니다 너무 ㅠㅠㅠ",1
9,평점5,21.04.16.,요즘 피부가 갑자기 뒤집어져서 좁쌀여드름에 좋다는 화장품 다 사서 쓰는 중입니다 찾아보던 중 닥터지 레드 블레미쉬 수딩 크림이 좋다고 해서 써봤는데 진정도 되고 순하고 좋더라고요 그래서 같은 라인인 토너 까지 함께 사서 사용했는데 이것도 순하고 좋네요 선크림도 다 닥터지껄로 쓰고있는데 이 브랜드와 제 피부가 잘 맞는거같아요,1
10,평점5,21.03.05.,딸을 위해 이번에 3번째 재구매했어요.이 제품은 작년 군에 간 아들이 PX에서 구입해서 본인이 써보고 좋아 작년 11월 휴가 나올때 동생에게 선물해서 알게 되었던 제품인데 지금은 상태가 너무 좋아서 피부트러블 나기전 모습으로 되돌아 왔어요.^^ 고2 딸이 작년 여름부터 뽀류지랑ㆍ여드름ㆍ코에 블랙헤드도 군데 군데 생겨서 피부과를 가야하나 걱정했었는데 이제품 크림이랑 같이쓰고 있는데 지금은 깨끗해져서 계속쓰고있어요.사춘기 여드름ㆍ마스크 붉은 뽀류지에 강추예요!!( 복합성피부),1
11,평점5,21.04.24.,"여드름피부로 고생하는 울아들이 지금 2통째 사용중입니다. 눈에 띄는 드라마틱한 효과는 없지만 무난하게 사용하기에 좋은 제품입니다.
3통주문중인데 꾸준히 써볼꺼에요!
할인이 많이 되고 무료배송이라 자주 이용하게되는것같아요.",1
12,평점5,21.04.22.,"사춘기 여드름성 피부아들과 함께쓰고있어요
아들은 여드름피부 전 예민한 피부라 화장품 유목민생활하다 여기에 함께 정착했어요.
닦토로 사용중이고 이거 안쓰면 왠지 다음날 뽀루지 올라오는 느낌들어요.
사용후 촉촉하고 끈적임없이 산뜻합니다.
토너사용후 수딩크림으로 마무리합니다",1
13,평점5,20.12.18.,신랑이랑 같이쓰는 최애 토너에요 물같지만 얼굴이 촥촥 스며들고 촉촉함도 오래가고 시원한 느낌이 들면서 얼굴 홍조가 가라앉는거 같아요 겨울철에 서너번 덧발라주면 속까지 수분이 차오르는거 같아 사계절 내내 알차게 써요,1
