,rating,time,content,label
0,평점5,21.05.06.,"와..저희 6학년 딸..
등에 너무 많이 나서,피부과 연고도 발랐지만
그때 뿐이더라구요.
연고를 계속 바르기에는 제가 너무 찝찝해서 어쩌지 하다가?이 제품 광고 하는걸 봤어요.
하도 광고하는 제품들을 사서 많이 당한지라..
이거 사서 썼는데,또 호구처럼 당하면 어쩌지?이 생각 하면서 두달을 고민 했어요.
두달 고민하다가 그냥 일단 사보자.안 맞으면 내가 써야지 하는 맘으로 샀네요.
근데 이게 무슨 일이죠?첫날 바르고 그 담날 보니
뭔가 줄어든거 같다?아닌가? 이 생각으로 열심히 닦고 발라줬죠.근데 진짜 저희 딸은 4일 뒤부터 효과가 확 나기 시작 하더라구요.
두번째 사진이 딱 4일째 사진 입니다.
지금은 사서 바른지 한달은 안됐지만,
진짜 .
정말 여자 아이라서 나중에 놀림 당할까봐 크게 걱정 했거든요.근데 여기 제품들 바르고 쓴 이후로 맘이 정말 편해지네요.
감사해요.많이 파시고,변함 없이 잘 만들어 주세요.",1
1,평점5,21.02.26.,한번 구매해서 써보고 너무 좋아서 다시 여러개 구매했어요~~ 친정집에 쓰던거가지고 가면 고등학생조카에게 뺏기고 오기를 두번째ㅎ 조카아이도 주문해줘야겠어요 사춘기라 피부과 다니는데도 트러블은 계속나고 그림그리는아이라 학원에서 4시간 이상 마스크를 착용하니 마스크로인한 트러블도 계속ㅜㅜ 요거써보더니 좋다고 합니다. 원래 제가 처음 구매하게된 계기는 10살 딸때문이었어요. 애기가..코로나로 마스크쓰니 볼에 좁쌀 여드름이 올라오더라구요. 아이가 쓸꺼라 순한성분 찾다가 우연히 써봤는데 좋더라구요 그뒤로 꾸준히 쓰고있어요. 11살이 된딸도 이게 좋다고 매일 사용하고요 마스크좀 오래쓴날은 양쪽볼에 팩처럼 올려놀고 누워서 책도 봅니다~~ 이제 저도 함께 쓰고있어요 신랑도 막 해주고요ㅎㅎ 저희가족에겐 필수품이 되어버렸네요 성분 좋은제품 꾸준히 만들어주세요~♡,1
2,평점5,21.03.14.,"초6딸 코피지,고1아들 얼굴,등,가슴에 여드*이 다 있는데 둘다 올초부터 피부에 관심을 보여 주문했습니다.이것저것 바르기 귀찮아하는 아들은 패그만 꺼내서 닦으니 간편해서 배송빋은 날부터 며칠은 꾸준히 사용응 잘 하고 스킨은 뿌리는 병에 담아서 등에 뿌려주고 있어요.
중1부터 계속 있던건데 이전에는 관심이 없고 제품사용도 잘 안하는데 역시 신경쓰기 시작하니 좀 낫네요.본인피부를 위해 신경써주셨음에 좀 고마워하고 ,개선의 효과도 많이 있으면 좋겠어요.
사용장점-간편해서 바르기 귀찮아하는 아이한테 좋고,향이 거의 없어 냄새에 민감한 아이한테 좋을거 같고요.마스크를 하루종일 착용하는 날 경과를 봐야겠지만 붉어진게ㅜ조금은 색깔이 어두어졌어요",1
3,평점5,21.03.06.,"초5따님.조금씩올라오기시작했는데.갑자기.큰게똭!!!!.우연히.네이버에서.발견하고.그냥사봤어요.윤스테#.정#미씨가.쓰는제품과.고민하다.요제품이.상품평에.아이들이.많이나오길래 ㅋㅋ
결과는.대만족.기존.좁쌀은.드라마틱하게.없어지진않았지만.좋아졌구요.뾰루지는정말.단박에.좋아졌어요.첫날과5일정도.사용한결과구요.전.아직.아이라.닦아내기보단.그자리에.올려두었어요.그래서.효과가.더있었던거같아요.어제부턴.아주살살.닦아내고있어요.혹시몰라.이틀에한번만.하려구요 ㅋㅋㅋ 저도.민감성이라.이틀에한번만.닦고있어요.현재로선.만족하고.쓰고있어요^^",1
4,평점5,20.10.10.,원래 스킨만 썼었는데 패드나와서 행사기간에 두개 주문했어용~~ 타브랜드 스킨패드로 나온더사용하면서 편해서 좋다고 생각했는데 아누아도 패드로 나와서 너무 좋아용~ 닥토용으로 패드쓰고 스킨으로 한번더 하니 너무 촉촉하고 좋아요 얼굴좁쌀도 진짜 많이 좋아졋어요 👍👍👍,1
5,평점5,20.10.14.,"너무 촉촉하고
스킨? 에센스? 굉장히 많이 적셔 있어서~ 토너 역할을 톡톡히 하네요!
요즘 마스크 때문에 턱에 트러블이 많이 나서 좋다는거 다해보는 중인데 ㅠㅠ 효과 있었으면 좋겠어요! 아직 2일 밖에 안되서 잘 모르겠지만 진정은 충분히 된거같아요!!",1
6,평점5,21.02.23.,"초4 피부과에서 이것저것 돈 많이 썼습니다.그때만 좋아지는듯 하다 다시 도루묵ㅜㅜ이마에 좁쌀 여드름이 잔뜩있는데 마스크를 쓰니 이마에 여드름만 보이고 스트레스가....그러다 우연히 알게 되어 리뷰보고 한번 써보자 싶어 구매하였는데, 사용한지 3일차 아침저녁으로 사용하고 있습니다.우선은 조금 좋아지는게 보여 꾸준히 사용해보고 한달후 다시 작성하여 올리도록할께요~",1
7,평점5,21.03.21.,"이마 트러블이 있는 초4딸에게 주려고 구입했어요. 카페에서 추천받고 사본건데 효과가 있었으면 좋겠네요. 3번정도 사용했는데 일단 자극없고 향기도 무난해서 아이가 아직은 잘 쓰고있어요. 한달 써보고 다시 후기 남길게요.
참고로 집게보관하는게 따로없어서 그건좀 불편하네요. (아비*쓰는데 그건 집게가 뚜껑안쪽에 부착되게 되어서 편하거든요)",1
8,평점4,21.04.27.,"아누아 토너 너무 잘써서 재구매하려다가 매번 화장솜 묻히는게귀찮기도 하고 패드도 리뷰가 좋길래 사봤어요
우선 이번에 화장품을 다 바꿔서 딱 이것때문인지는 모르겠지만 엄청 드라마틱하게 트러블이 좋아지는건 아니였어요 그래도 간편하고 피부결이 많이 부드러워진것같아서 좋은것같아요 하지만 별 하나 뺀 이유는 에센스?가많이 들어있지않고 딱 패드만 젖어있는 수준이고 패드도 통에 비해서 많이 작아요 또 가격이 살짝 부담돼서
저는 다 쓰면 토너 재구매할것같아요",1
9,평점3,21.01.08.,하루에 한 번+일주일정도 사용했어요 턱에 있던 도돌도돌 좁쌀들은 그대로입니다. 상큼하게 건조되는건 아니고 뭐랄까 토너가 얇은 막처럼 피부에 덮인 느낌이 남아있어요. 광고효과 보고 두개살까 하다가 하나사보길 잘한듯요. 사용 중지할정도로 기대감이 없진 않아서 조금더 써보고 트러블케어가 되는것같으면 더 사러 올게요. 참..배송에 친환경 포장 사용하셔서 보내주시는거 너무 좋습니다.,0
