,rating,time,content,label
0,평점5,21.03.30.,원래 사용하던 노란병의 달맞이꽃 성분이 없어서 같은 라인의 다른 걸로 주문했는데 끈적임이나 발림성 같은건 비슷한데 향이 원래 쓰던것보다 좀 별로예요ㅠㅠ 로즈향을 원래 별로안좋아하는데 인위적인 꽃향이나서ㅠㅠ 향에 예민하신분들은 고려해보셔야 할거같아요! 유통기한은 23년 6월까지라서 넉넉해서 좋습니다~ 이가 없으면 잇몸으로라고ㅠㅠ 여인에서 항상 주문하던 아이가 없어서 다른 라인도 한번 꾸준하게 사용해볼게요! 곧 적응되겠죠ㅠㅠ,1
1,평점5,21.03.09.,집이 너무 건조해서 크림을 발라도 다 뜨고 하나도 흡수가 되지 않았는데 이걸 바른 후에 피부가 보들보들해졌어요 무거운 제형이 아닌만큼 흡수가 잘되지만 평소 많이 촉촉함을 추구하시는 분이라면 좀 건조하다고 느껴질 수도 있을 것 같아요 그래도 메이크업 전에 바르면 밀리지않고 촥촥 베이스가 잘 먹어용,1
2,평점5,21.01.22.,"이 라인으로 스킨을 쓰는데요, 보습력,수분, 향 모두 좋아요.
아직 쓰던게 남아있는데 미리 샀네요~^^
딜할때 미리미리 사놓구 있어요.

1.느낌?촉촉하며 젤같은 느낌에 스킨 타입.
2.향. ? 은은하고 자극적이지 않아요.
3.보습 ? 바른후 서서히 스며드는 스타일
4.만족도?품질, 용량, 가격, 향 모두 5점만점에 5점

개인차가 있겠지만 .",1
3,평점5,21.03.23.,40대 초반입니다 ㅎㅎ 다른 어떤 명품 스킨 로션 보다 마몽드께 순하고 잘맞네요 SK나 CLINICQ 쓰면 바로 트러블 생기고 엄청 땡겨서 못 쓰겠더라구요 자극적이지않고 저한테 잘맞는 저렴이를 찾아 다행이에요 스킨 로션이 자극적이지 않으니 색조도 자연히 쓰게 되더라구요 ^^,1
4,평점5,21.03.15.,"기본 10자 이상 작성시 100P 즉시지급 이미지 등록시 100P 즉시 추가지급개당 상품 가격이 5,000원 이하 상품은 적립대상에서 제외되며,리뷰 포인트는 최초 1회 작성시에만 지급됩니다.같은 단어가 반복된 내용은 임의로 삭제되며, 지급된 포인트가 회수될 수 있습니다. 다른 고객님들에게 유용한 상품 리뷰를 작성해주세요.",1
5,평점4,20.08.29.,"한번 살때마다 4-5개는 기본!! 항상 쓰는 제품이에요 벌써 3년째 구매네요.. 가격도 저렴하고 냄새도 좋고 촉촉하며 피부에 예민한 신랑도 함께 쓰고 있네요..
아이가 엄마꺼라며 발랐는데 트러블도 안 일어나고.. 역시 항상 쓰는 제품 굿굿 다쓰면 또 구매할께요",1
6,평점5,20.03.15.,"저는 40대 직장맘입니다 이것저것 좋은 화장품 많이 썼구요 30대엔 설화수 주로 썼는데 가격도 비싸고...해서 1년전부터는 마몽드를 쓰고 있어요
같은 회사제품 이기도 하고 그래서요
이 제품이 저한텐 잘 맞구요 제형도 약간의 쫀쫀함이 있는게 아주 만족합니다 하나 더 주문해야겠어요
많이 파세요",1
7,평점4,19.06.27.,"좋아요
마몽드는 워낙 자주 구매해서 사용해서 좋은 것은 당연히 알고 있고요
디자인 품질이야 당연 Good입니다
근데 두개 밖에 구매 안 했 다 고 샘플 하나 안 넣어 주는것은 좀 섭섭하네요
Gs가 할인도 많이 되고 가격도 괜찮고 해서
자주 구매하는 편인데 이렇게 제품만 오니 섭섭합니다
제품 배송 가격은 뭐 두루두루
많이파세요",1
8,평점5,19.06.18.,"좋아요~~~~~~~~~~~~~~~~~~~~~~~~~~~~

기본 10자 이상 작성시 100P 즉시지급

이미지 등록시 100P 즉시 추가지급

개당 상품 가격이 5,000원 이하 상품은 적립대상에서 제외되며,

리뷰 포인트는 최초 1회 작성시에만 지급됩니다.같은 단어가 반복된 내용은 임의로 삭제되며, 지급된 포인트가 회수될 수 있습니다.

다른 고객님들에게 유용한 상품 리뷰를 작성해주세요.",1
9,평점5,19.01.20.,"좋아요
마몽드를 워낙 좋아라 해서 제품좋은건 당연히 알고요
할인할 때 사서 더욱 좋습니다
그래서 자주 구매하고 있습니다
Gs shop 도 마 몽 드 도 너무 너무 좋아요

라 더욱 좋네요
하하하
많이 파세요

하하하",1
