,rating,time,content,label
0,평점5,21.04.25.,"배송도 빠르고 포장도 아주 잘 돼서 왔습니다.
토너랑 에멀젼만 쓰고 있는데 트러블 안나고 좋아요! 그리고 샘플도 엄청 많이 보내주시고 텀블러도 와서 기분이 너무 좋더라구요~~오프라인말고 이제 온라인에서만 구매하려구요~~",1
1,평점5,21.01.26.,"초초민감 여드름성 피부여서 화장품 하나 사는 것도 겁나고 성분 검색 엄청나게 하는데 이 제품이 보여서 구매를 해보았는데요!
일단 대용량이어서 팍팍 쓸 수 있다는 점에서 만족합니다!
그리고 정말 말 그대로 순한 거 같아요
배송 오자마자 발라봤는데 모기두드러기처럼 올라오지도 않고 붉어지지도 않아요. 정말 ...ㅠㅠㅠ
최고입니다. 감사드려요 에뛰드 ㅠㅠㅠ
지금까지 산 제품들이 알고보니 알코올 들어가있고 그래서 엄청 뒤집어지고 난리여서 피부 쫙쫙 갈라지더라도 바를게 없어서 그냥 뒀는데ㅠㅠ 이젠 그럴 필요 없겠어요... 대박...",1
2,평점5,20.08.20.,"에뛰드 순정시리즈 진짜 핵좋은거 모르는 사람 있으면 빨리 머리 속에 입력하라!!!
기본 용량 사용하다가 큰 용량 발견해서 샀는데
가격 넘 저렴해서 놀래부렀구~
그렇다고 유통기한이 짧은 것도 아니고 아주 넉넉하니 좋다 이거얏!!!
다 쓰면 또 사러 올게요!!!! 번창하소서!!",1
3,평점4,21.04.12.,가격도 저렴하고 올리브영 배스트에 항상 있어서 구매해봤어요! 성분은 일단 순한 것 같습니다. 다만 너무 물... 같아서 이게 따로 토너라고 쓸 필요가 있을까? 싶기는 해욤. 그리고 너무 물타입이어서 저한테는 조금 건조한 것 같아용 ㅠ,1
4,평점4,20.08.31.,묽은제형인데 자극없이 넘 순하고 편안해요~묽어서 안촉촉할것 같다란 생각을 하고 구매한건데 예상외로 촉촉하네요? 제가 민감트러블성 지성이고 더위 많이타서 넘 안바르면 금방 속당김이 생겨버리고 조금 유분이 과하다싶음 트러블 올라오고 적적량을 조절하기가 피곤한스탈인데 또 여름스킨은끈적이지 않는걸 선호하는데 유분이 막 있다고는 할 수 없지만 확 스며들어 증발하는 느낌은 아니였어요 제 피부엔...하지만 열오르는 얼굴에 진정효과가 좋네요 촉촉하지만 순해서 트러블걱정은 안해도 될것같은느낌예요,1
5,평점5,21.01.14.,"진짜... 너무 너무 촉톡하고 순해요! 에뛰드 짜란다 짜란다 짜~~란~~다~~♥♥ 스킨 하나만으로도 너무 촉촉하고 부드러워서 진짜 만족하고 쓰고있습니다~ㅎㅎㅎ😊 7스킨법으로도 너무 좋아요!!!🤗🤗 스킨하고 로션만 바르는데 진짜 세상 촉촉해서 신세계...♥ 어쩜 이렇게 순하고 착한데, 가능까지 충실할수가...♥😂우리 에뛰드~ 섀도우만 쪼금 하는 줄 알았는데, 기초 맛집이였네용?😝순정라인 아주 칭찬합니다~!!! 더더 흥해서 마몽* 캐모마* 토너처럼 500ml 대용량이 나와주길 기다리겠습니다....♥♥♥ 저처럼 민감하고 얇은 피부에게 오아시스같은 순정라인....😍👍👍 아주 만족합니다!!!",1
6,평점4,20.04.21.,"피부에 바르시면 약간의 무게감이 느껴지는

점성이 있는 액체타입인데 흡수가 잘 될지 궁금했

습니다.

평소에 토너나 스킨을 화장솜에 충분히 덜어내어

피부를 닦아내는 토너를 좋아하는데요.

코스알엑스 풀핏 프로폴리스 시너지 토너도 그렇

게 쓰기에 적절했어요.

너무 점성이 많으면 닦아내는 용으로 쓰기엔 부적

절한데 이건 그정도는 아니라서 화장솜에 적셔서

피부를 한번 사악 닦아주고

다시 손바닥에 덜어서 살살 문질러 먹여주면 피부

가 쫀쫀하게 되더라구요.

프로폴리스 때문에 끈적이는 느낌김이 드는 건 사실인데요.

적절한 양을 피부에 발라주고 두드리는 것보다는

부드럽게 롤링하여 흡수시켜준다는 느낌으로 바르면 잘 흡수되더라구요.

저녁에는 에센스 바르지않고 토너만 써도 촉촉함이 잘 유지될 정도입니다.



끈적임이 남거나 잔여감이 남는건 잘 흡수가 되지 않아서 그런것이기에

마사지해주듯이 힘을 주지 않고 살살 문질러서 쓰고 있어요.",1
7,평점5,20.11.11.,"보이세요? 제가 올해 하반기에 구입해서 사용한 토너들입니다!!!!!!
미스트로 좋고 피부정리에 좋고 밤낮으로 5스킨해주면
극악무도한 건조도 다 커버되는 진짜 요물템이에요ㅠㅠㅜ여기가 싸서 매번 이용하는데 여러분도 꼭 사셔서 꿀피부되세요!!!😆💕💕💕",1
8,평점5,21.03.13.,악건성이라 피부과에서 스킨 쓰지말라고 까지했는데 하도 평이 좋아서 한번 사봤는데 웬걸 이렇게 촉촉한 스킨은 진짜 첨이네요 에센스도 바르고 스며들면 땡기는데 이스킨은.바르고 5분이 지나도 전혀 안땡기네요 ph가 맞춰져서 진짜 이런건가? 신기하네요 ㅋ 재구매 의사 완전100 이예요,1
9,평점4,21.04.20.,"저희 아버지가 향이 없는 스킨을 쓰고싶다고 하셔서, 향이 약하거나 없는걸로 여러가지 써보다 이 스킨을 찾아내서! 드디어 정착하셨습니다^^
떨어질때마다 매번 사드리고 있어요~ 유통기한도 좀 있어서(~2023.10월) 여러개 샀어요~",1
