,블로그내용
"크림은 내가 3통째 쓰고 있는 거다
진짜 난 웬만하면 아무거나 
세일할 때 촉촉하고 오래가기만 하면
쓰는데
이 제품은 내가 알고 난 후 
찾아서 쓰고 있다
흐트러진 피부 장벽을 강화시켜 촉촉하고 힘 있는 피부로 가꿔주는 무궁화 보습 장벽 크림
그렇게 3번 구매했으니
아주 알차게 쓰고 있다
제형은 약간 크림보다는 가볍고
로션보다는 무거운..?
뭐라고 설명해야 되지..
내 기준으로는 화장하기 전에 
딱 바르기 좋은 크림이다
평소 화장까지는 안 하더라도
닦토 → 에센스 → 크림
바르기  좋은 제품이다
부드럽게 잘 발리고
톡톡 쳐주면 수분이 잘 흡수되고 
가볍지도 않고 촉촉하게 유지된다
그리고 향도 산뜻한..??
꽃 향 난다
부담스럽지 않게
피부가 건조할 때
이 무궁화 크림 바르고
닥터 지 크림 발라주면
아침까지 피부 수분은 완벽하다...!!

인터넷으로 구매해서 
가성비 좋은 크림이랄까
앞으로 이 크림만 쓸듯!!",
"마몽드 세라마이드 인텐스 크림 리뷰
 아~주 예전에 써봤다가 오랜만에 재구매함
1.전반적으로 괜찮은 제품!
2. 순하고 촉촉함, 트러블 나진 않았음
3. 그러나 겨울에 속건조가 심한사람에게는 조금 부족할 수도 있다
건조한 겨울날에 잔뜩 바르고 자면 다음날  촉촉한 느낌보다는
살짝 건조하고 기름기가 더 많이 느껴졌다
4. 미끌거리는 마무리감이 싫은 사람들은 한율 어린쑥 수분진정크림을 추천한다
비슷하게 순하고 촉촉한데 기름기가 별로 느껴지지 않고 마무리감이 더 산뜻함
5. 마몽드와 한율 크림을 비교해보자면 
 마몽드는 수분보다 유분이 더 많은것 같고 한율은 수분이 더 많은 것 같은 느낌 ",
"마몽드! 
그 유명한 산소같은 여자!
그 브랜드 맞다! 
아모레퍼시픽은 참으로 많은 브랜드가 있는데,
내가 생각하기에 마몽드가 
가장 패키지가 구린 브랜드 같다.
마몽드 화장품 진짜 좋은 거 많다.
근데, 패키지가 인간적으로 너무 구리다.
나야 제품이 좋으니 쓰지만, 모르는 사람은
진짜 패키지가 구려서 안쓰는 사람 많을 것 같다.
몇년전에 장미수로만 100%인 미스트가 나와서
써보고 너무 좋아서 선물 했는데, 
가격이 싸지도 않았다. 마몽드라는거에 시큰둥~패키지에 시큰둥 한거보고
혼자 상처받아서, 
아무튼 그만큼 패키지가 구리다.
나도 사람인지라 비싸거나 패키지에 혹해서
즉, 욕망충족용 화장품도 물론 있다. 
하지만 평소의 나같은 
가성비충+효과+성분 따지는 사람은 몰라도,
브랜드 인기 따지고 특히 젊은 사람들이 
환장할만한 요소는 마몽드 패키지에서는 없다.
(유명템인 마몽드 로즈토너 빼곤)
물론 철저하게 패키지 측면, 
그리고 개인적인 의견이지만 말이다. 
아무튼 마몽드!
용기 디자인에 신경 좀 쓰면 좋겠다ㅠ
미안하지만 묘~하게 촌스럽다. 
(내가 안타까워서 그래ㅠㅠ안타까워서)
[마몽드 블루 캐모마일 수딩 리페어 크림]
여전히 패키지가 구린
요즘 잘 쓰고 있는 크림 중 하나이다.
단지용기와 내가 쓰는 튜브형2가지로 나온다.
단지형은 외부에 첩촉되는 면이 많아서 
나는 튜브형으로 구매했다.
맨 오른쪽이 50ml가 본품이고,
나머지는 사은품으로 받은 것 들이다.
행사를 자주 하고 동일제품을 정량에 맞춰 끼워주는
1+1개념의 행사를 자주해서 노려서 살만하다.
요즘 마스크를 많이 쓰다보니
피부 붉은기가 좀 올라와서 구매했는데,
나름 괜찮았다. 진정 효과도 있고
일단 수분크림 이다 보니 수분감이 있어서
촉촉하고, 가벼운 듯 한데 속당김이 없다.
유수분 밸런스를 생각하면 유분감은 거의
느껴지지 않는 것 같은데, 
속당김이 없고 편안하다.
난 요즘 아모레퍼시픽 빈티지 에센스 바르고
이 제품 바르고 있다. 
가볍게 바르는 편임에도 얼굴이 건조하거니 
당기거나 하지 않아서 좋다.
대충 이만큼씩 바르는데, 밀리거나 들뜨거나
하지 않고 대부분 흡수도 빠르고 잘 발린다.
사실 그래서 좀 헤프게 발린다ㅎ
특히 아침에 화장전에 바르기 참 좋다.
보통 화장전에 크림 잘 못 바르면 밀리거나
들뜨거나 혹은 흡수가 안되서 엉망 되는데,
이건 흡수가 빠르다 보니 속당김은 잡아주면서
여기 위해 선크림을 올려도 혹은 팩트를 바로
올려도 무리 없이 잘 발린다.
지금 11월 중순이면,
좀 더 유분있는걸 발라야 하는데도 생각보다
얼굴이 편해서 아직까지 더 이상의 화장품은
생략하고 있다. 내 피부는 딱 중성피부에 가까운
건성인데, 아직까지 당김은 없다.
보통 수분크림 같은 경우 바를 때만 촉촉하고
나중에 지나면 쬐이듯 쪼이는 느낌이나
뭔가 더 건조한 느낌이 드는데, 
이건 그런게 없다. 
흡수가 빨라서 나이트크림 등을 올려도 
잘 발리고 밀리지 않는다.
단점은 생각보다 양이 적다.
양이 적다기 보단 듬뿍 발라도 흡수가 빨라서
쓰는 양이 많아진다라고 보는게 좋을듯하다.
그리고 역시나 용기가 촌스럽ㅎ
아무튼, 마몽드는 은근 제품력 좋고 
가성비 효능 다 좋다.
[마몽드 세라마이드 인텐스 크림]
가성비 좋고, 찬바람 불면 제일 바르기 좋은
제품이라 생각하는 화장품 중 하나다.
나름 마몽드의 롱런하는 라인 중 하나이고,
스킨/로션도 무난하지만 이 크림이 진짜 좋다.
난 평소 크림을 별로 좋아하는 편이 아닌데,
(무겁고 유분기 있고 답답한거 딱 질색)
이건 흡수도 잘 되면서 보습력도 좋아서
겨울 크림으로는 나에겐 최고의 크림이다.
지성피부에겐 좀 부담이 갈 수도 있을텐데,
개인적으로 중성까지는 무난하다고 본다.
근데, 아쉬운건 리뉴얼 되서 성분이 뽜~가
되었다. (왜 멀쩡한 제품을 리뉴얼 하는지)
마몽드 세라마이드 인텐스 크림과
마몽드 세라마이드 라이트 크림이 있는데,
예전엔 라이트만 성분이 안 좋았는데,
오늘 찾아보니 둘 다 엉망이 되어있다.
가성비를 따지지 않는다면 
헤라 로지 사틴 크림도 진짜 좋지만 
가성비 사용감 효과 따지면 마몽드를 추천!
(바뀐 성분 때문에 꺼려진다면 비추천)
리뉴얼 되고 알레르기 유발 물질성분이 
너무 많이 추가 되었다. 
그러면 지성피부나 예민한 사람들은 백퍼 간지럽다. 
혹시나 하고 헤라 로지사틴 크림도 검색했더니
헐~ 이것도 리뉴얼되고 마몽드 인텐스 크림 
급으로 알레르기 유발물질이 추가 되었다.
두 제품 모두 나에게 잘 맞고,
특히 사용감 보습력 부분이 비슷해서 둘다
참 좋아했는데, 실망이다. 
결국 내가 최애 하던 크림 둘다 성분이 엉망이
되었다는 것.
현재 남은 로지사틴 크림 남아있는 것만
다 쓰고 다시 재고해봐야 겠다.",
"마몽드 세라마이드 세트입니다!
스킨소프너, 에멀젼, 인텐스크림까지 세트에욥!
세라마이드 세트에는 스킨소프너, 에멀젼, 라이트 크림, 인텐스크림 이 있는데
건복합 : 인텐스크림
지복합 : 라이트크림
을 선택하시면 될것같아요!
저는 건성이므로 인텐스 크림으로 결정!
인텐스크림 & 라이트크림
마몽드 세라마이드 세트
세트답게 겉표지가 모두 동일합니다 ㅎㅎㅎ
왠지 기분 좋은,,
실제로 사용해본 후기 시작할게요!
실제 사용후기
마몽드 세라마이드
""주름개선 기능성화장품""
흐트러진 피부장벽을 강화시켜 주어 빈틈없는 촉촉함을 제공하는 보습 스킨, 로션, 크림이라네용!
마몽드 세라마이드 세트
포장지를 벗겨낸 모습입니다!
은은한 분홍빛의 용기도 맘에 들어요 ㅎㅎㅎ
유효기간
용기 아래에는 유효기간이 적혀있구요!
2023년으로 아직 완전 넉넉해요~
마몽드 세라마이드 스킨 소프너
마몽드 세라마이드 스킨
세라마이드 스킨
펌프 형태가 아닌 툭툭 쳐서 쓰는 타입이에요!
묽은형태고 처음에 바르고 나면 촉촉함이 있는데 조금 지나면 금방 보송보송 해져요!
보송보송해지면 바로 에멀젼을 바릅니다!
마몽드 세라마이드 에멀젼
마몽드 세라마이드 에멀젼
마몽드 로션
로션은 펌프타입으로 눌러 쓰는 형태이구요~
스킨보다는 묽은 제형은 아니고 딱 로션 형태였습니다!
사실 특출난,,, 효과는 잘은 모르겠어요~ 
단지 저는 민감성 피부인데 트러블이 안나는것만으로도 좋아욥!!
마몽드 세라마이드 인텐스크림 (나의 인생템!!)
마몽드 세라마이드 인텐스크림
뜯으면 이렇게 밀봉이 잘되어있습니다!
저는 용기형보다 짜서 쓰는 편이 더 좋은데ㅠㅠ 매장에는 용기형밖에 없더라구요ㅠㅠ
마몽드 세라마이드 인텐스크림
뜯고 나면 이렇게! 쫀득쫀득하고 크리미한 제형이 가득가득 담겨있어용 ㅎㅎ
마몽드 세라마이드 인텐스크림
마몽드 세라마이드 인텐스크림
이 제품은 저의 인생템입니다 ㅎㅎㅎ
제 피부타입과 제일 잘맞는 제품이에요!
트러블이 올라올거같은경우에도 이것을 발라주면 쏙 들어가는것같고
조금 피부가 거칠어진다,, 싶다가도 밸런스를 정말 잘잡아줘요!
일단 발림성도 부드럽게 잘발리고 바르고 나면 끈적함보다는 촉촉함이 느껴지고
자고일어나도 수분감이 유지되는것같아요!
지금 이 제품은 약 3통째 구입하여 꾸준히 쓰고있고
항상 단종될까봐 쟁여놓고 써야하나,,, 라는 생각이 들정도의 인생템입니다!
가격도 착하구요!!!!
아래링크에 인텐스크림 구매후기를 쓴적이 있네욥 ㅎㅎㅎ
!오늘은 스킨 로션 후 크림단계에서 바르는 인텐스 크림 리뷰에요~이제품은사은품
그리고 사은품으로 받은 아이오페 라이브 리프트 스페셜 기프트 박스!
사은품 많이 받는것도 증말 좋아요 ㅎㅎㅎ
소프너 인텐시브 - 에멀젼 인텐시브 - 세럼 - 아이크림 - 크림
구성품이 들어가져있네요!
요런것은 여행갈때 정말 필요한 제품!!
ㅎㅎㅎㅎ
나중에 샘플을 써보고 좋으면 몇개 구매를 해봐야겠어요~
이상 마몽드 세라마이드 세트 : 스킨소프너, 에멀젼, 인텐스크림 내돈내산 후기였습니다!
안뇨옹~~~~",
"제가 사계절 꾸준히 사용하고 있는 수분크림! 
마몽드 세라마이드 인텐스 크림이에요 ㅎㅎ 
 친구가 마침 사용하고 있어서 사용해봤는데 
저한테 찰떡이어서 ㅎㅎ 쟁여놓고 쓰는 기초화장품이에요~ 
상자 옆면을 보시면 
흐트러진 피부 장벽을 강화시켜 촉촉하고 
힘 있는 피부로 가꾸어주는 무궁화 보습 장벽 크림이라고 소개되어 있어요
 주름개선도 가능한 수분크림이네요~~ 
바르는 제형은 가볍지도 무겁지도 않은 크림 제형!
제 피부 타입은 건성, 민감성 피부이에요~ 
< 이 제품의 장점 >
-발랐을 때 수분감, 보습감을 둘 다 충족시켜줘서 
 유수분 밸런스가 적절히 맞는 거 같아요!! ㅎㅎ 
-성분이 착해요~ 
  유해 성분으로 향료 하나 정도 있어서 민감한 피부에 딱 맞아요~ 
-밤에 바르고 자면 촉촉해서 그 다음날 얼굴에서 광채가 돌아요~ 촉촉 ㅎㅎ
< 이 제품의 단점 >
사용하면서 단점은 딱히 없었어요
굳이~~~ 뽑자면 향료 정도? 
그렇지만 쓰면서 트러블이 안 났기에 크게 단점은 아니었어요 
>>>결론
건성, 민감성 피부를 가지신 분들에게 추천드려요~ 
보습감도 있어서 지성분들에게는 약간 기름질  수도 있어요 
ㅎㅎ 공병 인증! 
저는 앞으로도 마몽드 크림 재구매 의사 100% ~ 
기초화장품 유목민에서 정착민으로 ㅎㅎㅎ 
이상 리뷰 마치겠습니다~ ",
"오늘은 5통 넘게 쓰고 꾸준히 정착하고 있는
님께서 추천해주셔서 알았고
써보니 건조도 잡아주고 넘 좋아서
꾸준히 쓰다가 추천해드리고자 이번 리뷰를 합니다.
저는 크림은 매번 네이버 최저가 검색 후
여러가지 따져보고 구매합니다아아
그 나의 노력의 결과물이 도착 -
설레는 순간의 포착
오 이번에는 신기한 형태로 택배가 왔읍니다.
저 벌집같이 생긴 아이는 무엇이란말입니까아?
신박하네용ㅎ.ㅎ
자연을 생각한 늬낌 포장.
선물속의 선물 늬낌으로 등장
다시 또 열어열어
짜라라란 등장 !
저는 여행을 자주 다니는 편이라서,
일부러 가지고 다닐 수 있는 샘플을 같이 주는
제품으로 픽하였습니다 ^.^
저 무궁화 박스안에 나의 최애 제품이*.*
제가 주문한 제품과 미니사이즈 증정품 :)
이거 매번 받아서 쓰다보면 은근 오래 써용.
여행 갈때도 짱좋음. 꼭 이거 있는 패키지로 구매!!!
강추 드리옵니다ㅏㅏ (몇 백원 차이 안남)
드디어 주인공 등장.
원래 주인공은 늦게 등장함 ^^;;;;;
마개와 혹시나 모를 테이핑까지.
이런 꼼꼼함 좋아요 😌
향은 거부감 없는 플로랄 향입니다용 !
싫어하는 사람은 아직까지는 못봄.
(feat. 우리집 놀러 온 사람, 추천해준 사람들 평)
너무 뻑뻑하지 않고 물처럼 흐르지도 않고
뭔가 쫀쫀한 늬낌에
건조 확 잡아 부드럽게 막을 쳐주는 늬낌.
말로 백번 설명해봤자 아무도 모름.
올리브영에 가서 테스트 발라보시고
써보시길 추천드려용 ㅎ.ㅎ",
"저는 수분크림 유목민입니다
왜냐면 저는 수부지이기 때문이에요 
하.. (할많하않)
근데 요즘 어느정도 정착한 
수부지에게 제격인 수분크림이 있었어용
두통 싹싹 긁어 사용하고 
♥내돈내산 협찬아닌거 아시쥬♥
튜브형 수분크림인 (퍼서쓰는 형태도있삼)
'마몽드 세라마이드 인텐스 크림'
 일명 무궁화 수분크림이라고도 부른다더라구용
그런거 하나도모르고
그냥 순하다해서 구매함.
10월에 환절기때 피부가 한번 싹..
굿바이 한적이있어서 
순하고 보습력 좋은 아이로..
힘있는 피부로 가꿔주는 장벽크림!!
진짜인듯해요 
마몽드 세라마이드 인텐스 크림
 바르면 화장도 탄탄하게 잘 먹고,
피부가 좀 더 탄탄해진 느낌이 난다해야되나
피부가 흐물흐물거리지않음
저는 항상 한번 얇게 레이어드하고 
건조한부분에 듬뿍 흡수시키지않고 
팩 형태로 발라주고 있어요 
근데.. 공병리뷰인데 다쓴거같지않다고요?
노노..진짜 다씀 ㅋㅋㅋㅋㅋㅋㅋㅋ
물론 저는 가위로 잘라서 면봉으로 퍼서 
끝까지 다쓸거에요^^*(아깝자나)
저는 아무리 수분감이 많은 제품을 사용해도 
속당김이 심한 전형적인 수부지인데
이건 속당김도 잡아주고 
화장도 잘먹게 도와주는 수분크림 !
마몽드 세라마이드 인텐스 크림, 튜브형
뚜껑을 따면 요렇게 생겼고용
저는 개인적으로 퍼서쓰는 타입 관리를 
잘 못하는 사람이라...
이런 튜브형 수분크림이 넘나 편하고
위생적인것.. 
튜브형이니까 휴대성도 좋음 
마몽드 세라마이드 인텐스 크림, 튜브형
와 여러분 저 움짤만듬 ㅋㅋㅋㅋㅋㅋ
겁나 파워블로거같넹 
어쨋든 마몽드 세라마이드 인텐스 크림의 
제형은 이렇구용 ㅋㅋㅋ
아시죠? 지니 꾸덕하고.. 피부답답하고..
기름지고..그런거 싫어하는거..
근데 마몽드 세라마이드 인텐스 크림은 그렇지않아요 
어느정도 꾸덕하지만 흐르는 점도는 아님.
그렇다고 유분감 > 수분감 이 아닌
제가 느낄땐 유분감 < 수분감 입니당
튜브형
이건 한손으로 펴 발라줘야 하기에 
움짤을 만들지 못했..
ㅋㅋㅋㅋㅋ
확실히 점도가 있는편이지만
무거운편은 아닌거같죠! 
얼굴에 바를때도 은은하게 광이 생기고
피부결을 정돈해주는듯한 느낌이에요 
피부자체를 보들보들하게 만들어주는?
저 실제로 마몽드 세라마이드 인텐스 크림 
바르고  화장했을때 
피부 좋아보인단 얘기 5번 들음  
이정도면 수부지 수분크림으로 제격 
아니냐구용 !!
곧 재구매 해야할거같아요 ㅎㅎ 
당분간은 요거 계속 사용할듯 합니당 
진짜 레알 수부지 수분크림 유목민분들
제 얘기 한번만 들어주세요~!!!
마몽드 세라마이드 인텐스 크림, 튜브형
수부지 수분크림으로 짱짱 추천함! 
튜브형이라 너무너무너무 편하긴 하지만
대용량 만들어주세요ㅡㅡ
요기 인증내역 ㅎ (패키지가 왜 더 쌀까)
10월달에 시킨건 딱 한달 사용했네용
11월에 시킨건 30미리가 딸려오니 
조금 더 사용할 수 있을듯 ㅋㅋㅋ
만약 구매하실 분들 계심 잘 비교해보고 
구매하세용!!
♥ 그럼 안녕! ♥ ",
"겨울이라 수분크림은 필수인 me!
겨울이 왔다건성피부인 나는 세수하고 나올때 마다 얼굴이 당겼다ㅠㅠ크림이 다 떨어져 스킨/로션으로 견  아토클래식 리얼토닉 카밍 인텐시브 크림을 쭈욱 사용해오다가 겨울이라 아낌없이 발랐더니 벌써 다 써가더라구요,,,
맨날 하나 사야되는데 사야되는데 하다가 엄마가 아리따움 10만원 카드가 있다길래 따라가서 골라왔어요
엄마찬스 체고
마몽드 세라마이드 인텐스 크림
이 크림은 그냥 뭐...
남자친구가 이거 계속 쓰길래ㅋㅎ
아리따움 이모도 뾰루지 같은거 났을때도 발라도 된다고 하시며 괜찮다고 하시더라구요
무려 100ml😎
이 크림은 용기에 들어있는 것과 이렇게 튜브형 두가지로 나뉘더라구요!
개인적으로는 용기보단 이런 튜브가 쓰기에도, 위생에도 더 좋지 않을까?라는 생각을 합니당,,,,
물론 용기가 마지막까지 알차게 쓸 수 있겠다만..
이것저것 다 장단점이 있으니 좋아하는 걸로 구매 하시면 될 것 같아요!!
설명이구영
저는 설명은 바로 스킵ㅋㅋㅋㅋㅋㅋㅋ
개봉 완료:)
조금 쭈굴한데 쓴적 없는 새 것! 이랍니다요ㅋㅋㅋ
하얗고 깔 끔 하 쥬?
이렇게 놓고 보니 너무 삐뚤게 찍은게 아닌가 싶군요...
사진으로는 디게 작은 것 처럼 보여서,,
역시나 비교샷 가야 크기가 가늠이 됩디다!
에어팟과의 크기 차이예요
대용량 같아보이나요!?ㅎㅅㅎ
당분간, 아니 몇달간 잘 쓸듯ㅋㅋㅋㅋㅋ
50ml랑 만원? 밖에 차이 안나서 100ml 골랐답니다:D
뚜껑을 열면
은박지가 있어요 새거니까ㅋㅎ
얼른 떼버렸주
저는 인텐스 크림의 향이 너무나 좋습니다
은은~하니 참 좋아요!!
슬쩍 펴발라보았는데요
광택보이시나요!
촉촉하고 끈적임도 별로 없구 아주 좋아용
이번 겨울 수분크림은 너다!!!!!😘",
"ㅋㅋㅋㅋ한 통 다 쓰고 두통째 구매하며
남기는 후기입니다ㅋㅋㅋㅋ
(피부결이 진짜 좋아짐!!!!!)
사실 저는 이 제품을 올영에서 뭐 엄청사고
샘플로 뜯어쓰는거 다섯개 받아서ㅋㅋ
써보고 이렇게 얼굴에 잘받고 효과
바로 나타나는 제품은 처음이라 바로
본품을 구매했어요ㅋㅋㅋ대박
피부가 편안한 저자극 처방으로
8가지 각종 안좋은 성분으로부터
자유롭다네요ㅋㅋ그래서인지 피부심각
예민한 저에게도 완전 인생템등극
제 블로그 자주 방문하시는 분들은
아시다시피 저는 화장품류 귀찮아서
리뷰 거의 안하는 편인데 이건 꼭
해야만하겠다 싶어서 ㅋㅋ맘먹었다가
두통째쓰도록 귀차니즘에 못쓰다가 드디어!
작성하게 되었습니닼ㅋㅋㅋ
올리브영에서 구매했더니 요렇게
기프트세트로 구매할 수 있어 개이득ㅋㅋ
토너 2종류와 보습크림이랑 팩이
추가구성으로 들어있었어요~
이건 다른토너들 쓰느라 아직못써서
좋은지 어쩐지 모르겠어요ㅋㅋㅋㅋ
요거 좋더라구요~ 이것도 담에 보이면
꼭 사오려구요!!!!!! 진짜피부왕촉촉해짐ㅠ
주름개선기능성화장품 으로
보습크림 으로 나온제품인데 이것도
은근 꿀템ㅋㅋㅋㅋㅋ
다씀ㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋ이걸사고나서 다뜯은담에
깨달아서 이번엔 그냥쓰고 담엔 세럼
세트로사기로 맘먹었습니다ㅠㅠ바보
이건......진짜ㅋㅋ혁명템이예요..
제 손이 큰건지 이게 작은건지 모르겠지만
제 기억엔 아침저녁 매일바르고 2개월
정도 쓴거같아요ㅋㅋㅋ(30ml)
이거 발랐을때랑 안발랏을 때랑 세수하면서
피부에 닿는 느낌이 차원이달라요..진짜..
한통다쓰고 한동안 못사고있다가
요즘다시바르니까 회사대리님이
요새 뭐바르냐고 자꾸 묻더라구요ㅋㅋㅋ
피부건조해보였었는데 요새윤기돈다고ㅋㅋ
진짜 신기한게 2~3일만 발라봐도
피부결이 달라진게 눈에 보여요ㅋㅋ
진짜 주변에 다 강력추천해주고싶은세럼ㅠ
평생쓸거예요이거ㅠㅠㅋㅋㅋ
.
찐득이지않고 흡수력도 진짜좋아요~
( 제형을 구지 사진으로 찍지 않는 이유는
매장에서 직접발라보는게
최고이기때문입니당 ㅋㅋㅋ
진짜 개강추하는 인생세럼입니다ㅠㅠ
두번 다 제 돈주고 샀어요ㅋㅋㅋ
다쓰면 또 살거예요!!!!!!
세일할 때 득템하세요~~~~!
진짜 비싼제품들도 많이써봤지만
살면서 써본 세럼중에 제일좋습니다!!!!",
