,content,ans
0,"예전에 이마트 트레이더스에서 처음 구매하게 되었는데 조금 피곤 하거나 술마신 다음날 뾰루지가 나는 예민한 피부인 저에게 엄청 효과가 좋았었습니다. 그뒤로 순한게 잘 맞는 체질인걸 알았구요
코로나 때문에 나가기 힘들어서 다른제품 그냥 주문해서 쓰다가 또 트러블 올라와서 찾다가다시 주문했어요 ㅋㅋㅋ 토너는 이것만 쓰려구요",1
1,세안후 건조함을 바로 느끼나 지성인피부인데요~ 세안후 바로 뿌려주며 몆년째 쭈욱 사용해요~ 큰용량도 맘에 들고 건조함도 없어지고 너무 좋은데 펌프 형태가 아니라 아쉬워요. 이건 제가 맞는걸 찾아 끼워 쓰고있는거랍니다~^^,1
2,"하또무기 스킨 컨디셔너
장점:
율무추출물 함유로 피부에 순한 제품이네요
사용감은 점성이 없는 물같은 액체형으로 피부에 빠르게 흡수되는 듯한 느낌이고 대용량이라 저는 페이스뿐만아니라 그냥 편하게 바디에도 사용하고 있어요~^^
추가적으로 솜에 묻혀서 마스크 대용으로도 가끔씩 사용하는데 . 저는 벌써 2년이상 사용하고 있는 데일리 제품입니다.

단점
스프레이 노즐이 증정으로 들어있는 상품을 구매했는데
생각보다 분사력이라던가 범위가 기능적으로 떨어지네요
전에는 증정으로 담아쓰는 작은스프레이 빈통을 기획으로 나왔었는데 .
매번 덜어쓰는게 귀찮긴해도 기능도 더 좋고 휴대성도 편리해서 . 현재 이 아니라면 사실상 사용하기가 불편하네요

무튼",1
3,"늘 사용하는 최애스킨이어요
자극없이 순하고 편안한 사용감에 보습에 좋더라구요
아침에는 두세번 발라주어 악건성인 피부에 보습을 충분히 채워주구요
저녁에는 닥토로 사용하고 열감있을땐 화장솜에 묻혀 팩으로도 사용하면 넘 좋더라구요

요즘 불매운동으로 한동안 사용안하다가
...",0
4,"가격이 착해서 구입했는데요 두개를 한묶음에 살수 있어서 샀는데요
건성인 저한테는 보습은 별로 도움이 안됐고요 그냥 세안 후에 한번더 닦아내는
용도로 쓰기 좋은 제품 같아요 물처럼 흘러내리고요 점성은 거의 없어요
지성이신 분들한테 좋을 것 같아요
여름에는 쓰기 괜찮을 듯 해요",1
5,"트레이더스에서 우연히 구매했다가 더 이상 판매를 하지 않아 이마트 몰 뒤져서 구매했어요. 일본제품이라는거 빼곤 모든 점에서 완벽해요. 무향이라 거슬리지 않아 좋아요.
저는 스프레이에 덜어서 사용하는데 스킨 보습력이 좋아서 피부속 당김이 많이 완화됐어요.
보습력은 좋고 끈적임은 없어서 언제나 만족하고 사용하는 제품이예요.",1
6,"순하고 가벼워서 몇년째 쓰고 있어요ㅎㅎ
피부가 신생아보다 예민한 편이라 시중에 파는 팩은 하기만 하면 피부가 뒤집혀서 못해요ㅜㅜ
그래서 이걸로 매일매일 스킨팩을 하고 있어요!
한달에 3~4통 쓰지만 가격이 나쁘지않아서 만족합니당
1리터 짜리가 나오면 좋겠어요ㅋㅋ",1
7,"이제 이거는 필수품이에요
기초바르기 전 첫단계에 사용하고있구요
저는 피부가 많이 건조한 편이라 바디에도 샤워후 크림 바르기전에 꼬옥 사용하고 있답니다
써보신 분은 재구매율이 높다고 생각해요
저도 이거 사용한지 벌써 4.5년은? 넘은거 같네요",1
8,하또무기스킨을오랫만에써보네요 하또무기는모든피부에거의맞는데 특히예민건조피부에좋은거같아요 마스크를써서피부가예민해져빨갛게변하는건조한피부인데 하또무기가순해서 스킨맛사지하기너무좋습니다 보통스킨을저녁마다7번정도올려주는데용량도많고순하고가격이착해서 한번구매해서딸아이와한병씩나누어씁니다,1
9,"꾸준히 쓰고있어요
특별하게 나쁘거나 별로라는 생각은 들지않아요.
데일리로 사용하기 산뜻하고 나쁘지않아요
대용량이고 무거운 느낌이아니라 더 괜찮은거같아요
건조하지않게 보습력도 있는거같아요.
기초 시작전에 한번 닦아내면 산뜻하니 좋네요.",1
