,comment,rating,blind,is_deleted,menu_items,level,menu_summary,like_count,is_mine_review,phone,rating_quantity,rating_taste,is_mine_like,rating_delivery,clean,time,review_images,nickname,id,is_menu_visible,owner_reply,owner_reply.comment,owner_reply.created_at,owner_reply.id
0,겉바속촉!! 너무 맛잇엇어요,5,False,False,"[{'ingredients': [], 'id': 94184310, 'name': '포테킹 후라이드'}]",3,포테킹 후라이드/1,0,False,jg**,5,5,False,5.0,True,2021-05-03 20:12:17,[],jg**,42777827,True,,,,
1,"뿌링소떡만 포장했는데 너무 친절하셨어요
포장도 종종 애용하려구요 번창하세요~!",5,False,False,"[{'ingredients': [], 'id': 41765494, 'name': '뿌링소떡'}]",2,뿌링소떡/1,0,False,jm**,5,5,False,0.0,True,2021-04-20 18:02:23,[],jm**,42164265,True,,,,
2,뿌링클 😊😊😊 존맛,5,False,False,"[{'ingredients': ['변경&추가 : 맵소사소스 추가', '디저트 : 빨간소떡'], 'id': 41765070, 'name': '뿌링클'}]",2,"뿌링클/1(변경&추가(맵소사소스 추가),디저트(빨간소떡))",0,False,14**,5,5,False,5.0,True,2021-04-18 19:08:52,[],14**,42084407,True,,,,
3,"원래 시켜먹던곳인데
이번에 4000원할인받아서 먹었는데..
가슴살은 식감이 고무처럼 질겼어요ㅠ",2,False,False,"[{'ingredients': [], 'id': 41764983, 'name': '후라이드 반／양념 반'}]",1,후라이드 반／양념 반/1,0,False,ha**,2,2,False,2.0,True,2021-04-12 15:28:56,[],ha**,41802522,True,,,,
4,뿌링클은.. 못참지..,5,False,False,"[{'ingredients': [], 'id': 41765187, 'name': '뿌링클 콤보'}]",1,뿌링클 콤보/1,0,False,dk**,5,5,False,5.0,True,2021-04-11 20:01:23,"[{'full': 'https://rev-static.yogiyo.co.kr/d655861035ab50d7a1859a27cab13b0c.jpg', 'thumb': 'https://rev-static.yogiyo.co.kr/d655861035ab50d7a1859a27cab13b0c_tn.jpg'}]",dk**,41770629,True,,,,
5,"뿌링소스가 빠졌는데 인지도 못하고 있다가 먹을려고 할때 뒤늦게 알게됐는데, 바로 미리 집앞에 오셔서 연락주시더라구요 알아서 잘 챙겨주셔서 감사했어요 지난번에도 먹었었는데 역시나 맛있었어요! 딸 아이가 제일 많이 먹었답니다 아이가 자다가 깨서 정신없어서 치킨 사진은 찍지를 못했네요ㅠㅠ",5,False,False,"[{'ingredients': ['변경&추가 : 뿌링뿌링소스 추가'], 'id': 94184300, 'name': '포테킹 후라이드＋뿌링소떡'}]",1,포테킹 후라이드＋뿌링소떡/1(변경&추가(뿌링뿌링소스 추가)),0,False,mj**,4,4,False,5.0,True,2021-04-11 08:50:20,"[{'full': 'https://rev-static.yogiyo.co.kr/25f532559456495c67b6ed36baab3fe3.jpg', 'thumb': 'https://rev-static.yogiyo.co.kr/25f532559456495c67b6ed36baab3fe3_tn.jpg'}]",mj**,41733654,True,,,,
6,"배달도 빠르고
맛있게 잘먹었어요",5,False,False,"[{'ingredients': [], 'id': 41765424, 'name': '맛초킹＋치즈볼'}]",1,맛초킹＋치즈볼/1,0,False,gr**,5,5,False,5.0,True,2021-04-09 21:52:11,[],gr**,41669485,True,,,,
7,빠른배달 감사합니다,5,False,False,"[{'ingredients': [], 'id': 41764983, 'name': '후라이드 반／양념 반'}]",1,후라이드 반／양념 반/1,0,False,ar**,5,5,False,5.0,True,2021-04-09 19:37:32,[],ar**,41658840,True,,,,
8,잘먹었습니다 바싹하게,5,False,False,"[{'ingredients': [], 'id': 94184310, 'name': '포테킹 후라이드'}]",1,포테킹 후라이드/1,0,False,sk**,5,5,False,5.0,True,2021-04-08 19:56:04,[],sk**,41619922,True,,,,
9,바삭바삭  맛있어요,5,False,False,"[{'ingredients': [], 'id': 41764987, 'name': '후라이드'}]",1,후라이드/1,0,False,if**,5,5,False,5.0,True,2021-04-07 20:48:44,"[{'full': 'https://rev-static.yogiyo.co.kr/54c7112e5fe57c9cbffe67177f61e83a.jpg', 'thumb': 'https://rev-static.yogiyo.co.kr/54c7112e5fe57c9cbffe67177f61e83a_tn.jpg'}]",if**,41584659,True,,,,
